Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
MCMULLEN W RODNEY,Chairman of the Board & CEO,2022-05-12,Option Exercise,10.98,194880,2139782,May 13 11:46 AM
Massa Timothy A,Senior Vice President,2022-04-21,Option Exercise,18.88,16000,302080,Apr 22 12:15 PM
Massa Timothy A,Senior Vice President,2022-04-21,Sale,58.03,50283,2917774,Apr 22 12:15 PM
Aitken Stuart,Senior Vice President,2022-04-07,Option Exercise,22.92,44593,1022072,Apr 08 01:16 PM
COSSET YAEL,Senior Vice President and CIO,2022-04-07,Option Exercise,22.92,34812,797891,Apr 08 01:17 PM
COSSET YAEL,Senior Vice President and CIO,2022-04-07,Sale,59.5,34812,2071244,Apr 08 01:17 PM
Aitken Stuart,Senior Vice President,2022-04-07,Sale,59.62,44593,2658456,Apr 08 01:16 PM
Tuffin Mark C,Senior Vice President,2022-03-28,Option Exercise,22.92,56039,1284414,Mar 29 12:09 PM
MILLERCHIP GARY,Senior Vice President and CFO,2022-03-22,Sale,56.28,44976,2531159,Mar 23 11:40 AM
Aitken Stuart,Senior Vice President,2022-03-21,Sale,55.75,52678,2936798,Mar 22 10:36 AM
Wheatley Christine S,Group Vice President,2022-03-18,Option Exercise,27.95,115869,3238943,Mar 21 03:01 PM
COSSET YAEL,Senior Vice President and CIO,2022-03-18,Sale,55.55,43754,2430447,Mar 21 02:24 PM
Wheatley Christine S,Group Vice President,2022-03-18,Sale,55.49,115869,6429429,Mar 21 03:01 PM
Jabbar Valerie L.,Senior Vice President,2022-03-17,Option Exercise,31.88,32606,1039387,Mar 21 02:24 PM
COSSET YAEL,Senior Vice President and CIO,2022-03-17,Sale,55.75,604,33675,Mar 21 02:24 PM
Jabbar Valerie L.,Senior Vice President,2022-03-17,Sale,55.47,32606,1808492,Mar 21 02:24 PM
SARGENT RONALD,Director,2022-03-15,Option Exercise,10.98,13000,142740,Mar 16 10:13 AM
SARGENT RONALD,Director,2022-03-15,Sale,55.97,13000,727571,Mar 16 10:13 AM
FIKE CARIN L,Vice President and Treasurer,2022-03-14,Sale,55.18,811,44751,Mar 15 02:58 PM
Foley Todd A,Vice President & Controller,2022-03-14,Sale,55.05,4200,231210,Mar 15 02:58 PM
Aitken Stuart,Senior Vice President,2022-03-08,Option Exercise,37.81,57154,2161109,Mar 09 04:28 PM
Kaufman Calvin J,Senior Vice President,2022-03-08,Option Exercise,28.77,46568,1339800,Mar 09 04:30 PM
Kaufman Calvin J,Senior Vice President,2022-03-08,Sale,58.14,46568,2707650,Mar 09 04:30 PM
Aitken Stuart,Senior Vice President,2022-03-08,Sale,57.61,57154,3292818,Mar 09 04:28 PM
COSSET YAEL,Senior Vice President and CIO,2022-03-07,Option Exercise,36.72,38754,1423076,Mar 08 02:46 PM
Tuffin Mark C,Senior Vice President,2022-03-07,Option Exercise,37.85,77544,2935060,Mar 08 02:48 PM
Foley Todd A,Vice President & Controller,2022-03-07,Sale,61.16,7000,428085,Mar 08 02:47 PM
Tuffin Mark C,Senior Vice President,2022-03-07,Sale,61.84,77544,4795150,Mar 08 02:48 PM
COSSET YAEL,Senior Vice President and CIO,2022-03-07,Sale,57.53,38754,2229394,Mar 08 02:46 PM
Kaufman Calvin J,Senior Vice President,2021-12-31,Option Exercise,18.88,31100,587168,Jan 03 10:24 AM
Kaufman Calvin J,Senior Vice President,2021-12-31,Sale,45.56,31100,1416947,Jan 03 10:24 AM
Massa Timothy A,Senior Vice President,2021-12-30,Option Exercise,10.98,16000,175680,Jan 03 10:24 AM
Massa Timothy A,Senior Vice President,2021-12-30,Sale,44.92,16000,718800,Jan 03 10:24 AM
Kaufman Calvin J,Senior Vice President,2021-12-28,Option Exercise,10.98,16288,178842,Dec 29 10:47 AM
Kaufman Calvin J,Senior Vice President,2021-12-28,Sale,44.25,16288,720744,Dec 29 10:47 AM
COSSET YAEL,Senior Vice President and CIO,2021-12-17,Sale,46.17,20000,923346,Dec 21 10:32 AM
Aitken Stuart,Senior Vice President,2021-12-16,Sale,46.01,20000,920294,Dec 17 10:55 AM
Wheatley Christine S,Group Vice President,2021-10-07,Sale,39.68,25322,1004828,Oct 08 11:47 AM
Foley Todd A,Vice President & Controller,2021-10-05,Option Exercise,21.6,34000,734480,Oct 06 02:43 PM
Foley Todd A,Vice President & Controller,2021-10-05,Sale,39.83,28874,1149994,Oct 06 02:43 PM
FIKE CARIN L,Vice President and Treasurer,2021-09-15,Sale,42.04,783,32919,Sep 16 10:45 AM
Adcock Mary Ellen,Senior Vice President,2021-09-14,Option Exercise,24.66,18500,456302,Sep 15 09:40 AM
Adcock Mary Ellen,Senior Vice President,2021-09-14,Sale,42.08,18500,778569,Sep 15 09:40 AM
FIKE CARIN L,Vice President and Treasurer,2021-07-14,Sale,38.3,1145,43854,Jul 15 02:09 PM
