Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Lamba Sanjiv,Chief Executive Officer,2022-05-25,Option Exercise,1.92,2840,5453,May 27 11:59 AM
Opfermann Andreas,"Executive VP, Clean Energy",2022-05-03,Option Exercise,1.92,387,743,May 05 03:15 PM
Opfermann Andreas,"Executive VP, Clean Energy",2022-05-03,Sale,311.55,186,57948,May 05 03:15 PM
White Matthew J,Chief Financial Officer,2022-03-21,Option Exercise,0,22850,0,Mar 23 02:24 PM
Opfermann Andreas,"Executive VP, Clean Energy",2022-03-21,Option Exercise,0,1760,0,Mar 23 02:23 PM
Panikar John,"Executive VP, APAC",2022-03-21,Option Exercise,0,5700,0,Mar 23 02:23 PM
Strauss David P,Senior VP & Chief HR Officer,2022-03-21,Option Exercise,0,10215,0,Mar 23 02:24 PM
Hoyt Kelcey E,Principal Accounting Officer,2022-03-21,Option Exercise,0,2925,0,Mar 23 02:22 PM
Nowicki Juergen,"Executive VP, Engineering",2022-03-21,Option Exercise,0,2375,0,Mar 23 02:23 PM
Bichara Guillermo,Senior VP& Chief Legal Officer,2022-03-21,Option Exercise,0,13115,0,Mar 23 02:21 PM
Durbin Sean,"Executive VP, EMEA",2022-03-21,Option Exercise,0,3805,0,Mar 23 02:22 PM
Lamba Sanjiv,Chief Executive Officer,2022-03-21,Option Exercise,0,19670,0,May 27 11:52 AM
Lamba Sanjiv,Chief Executive Officer,2022-03-08,Buy,268.62,3750,1007325,Mar 08 03:05 PM
ANGEL STEPHEN F,Director,2022-03-02,Option Exercise,0,3882,0,Mar 03 03:00 PM
RICHENHAGEN MARTIN,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:57 PM
WOOD ROBERT L,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:57 PM
McVay Larry D,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:55 PM
Ossadnik Victoria,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:56 PM
Reitzle Wolfgang,Director,2022-02-23,Option Exercise,0,1296,0,Feb 25 03:57 PM
Enders Thomas,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:54 PM
Fehrenbach Franz,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:55 PM
GALANTE EDWARD G,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:55 PM
BOERSIG CLEMENS A H,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:53 PM
DICCIANI NANCE K,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:54 PM
Achleitner Ann-Kristin,Director,2022-02-23,Option Exercise,0,518,0,Feb 25 03:53 PM
Fehrenbach Franz,Director,2022-02-18,Buy,303,375,113627,Feb 22 04:34 PM
Nowicki Juergen,"Executive VP, Engineering",2021-11-03,Option Exercise,174.29,9806,1709053,Nov 05 03:58 PM
ANGEL STEPHEN F,Chief Executive Officer,2021-11-03,Option Exercise,128.38,261075,33516808,Nov 05 03:59 PM
Panikar John,"Executive VP, APAC",2021-11-02,Option Exercise,164.89,16203,2671685,Nov 04 04:23 PM
Panikar John,"Executive VP, APAC",2021-11-02,Sale,327.19,4872,1594070,Nov 04 04:23 PM
