Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Hill Stephanie C.,Executive Vice President,2022-07-29,Option Exercise,0,5411,0,Aug 02 04:59 PM
TAICLET JAMES D JR,"Chairman, President & CEO",2022-07-27,Option Exercise,0,7180,0,Jul 28 05:02 PM
Donovan John,Director,2022-07-20,Buy,396.16,632,250373,Jul 21 04:32 PM
Lightfoot Robert M JR,Executive Vice President,2022-05-20,Option Exercise,0,878,0,May 24 05:47 PM
Donovan John,Director,2022-04-21,Buy,440.55,568,250230,Apr 25 04:15 PM
Ellis James O Jr,Director,2022-04-01,Option Exercise,0,520,0,Apr 05 04:32 PM
GORDON ILENE S,Director,2022-04-01,Option Exercise,0,520,0,Apr 05 04:33 PM
Hill Stephanie C.,Executive Vice President,2022-03-03,Sale,449.8,1418,637819,Mar 04 12:04 PM
St John Frank A,Chief Operating Officer,2022-03-01,Sale,435.91,8063,3514923,Mar 03 07:43 PM
Mollard John W,Vice President & Treasurer,2022-03-01,Sale,451.4,5000,2256988,Mar 03 07:43 PM
Colan Brian P,VP & Controller,2022-02-28,Sale,426.45,1937,826176,Mar 02 04:57 PM
Lavan Maryanne,SVP & General Counsel,2022-02-28,Sale,426.27,5832,2486059,Mar 02 04:57 PM
Hill Stephanie C.,Executive Vice President,2022-02-21,Option Exercise,0,1649,0,Feb 23 06:05 PM
Lavan Maryanne,SVP & General Counsel,2022-02-21,Option Exercise,0,2827,0,Feb 23 06:05 PM
Ulmer Gregory M,Executive Vice President,2022-02-21,Option Exercise,0,1432,0,Feb 23 06:05 PM
Mollard John W,Vice President & Treasurer,2022-02-21,Option Exercise,0,1190,0,Feb 23 06:05 PM
St John Frank A,Chief Operating Officer,2022-02-21,Option Exercise,0,3707,0,Feb 23 06:05 PM
Greene Scott T,Executive Vice President,2022-02-21,Option Exercise,0,955,0,Feb 23 06:05 PM
Colan Brian P,VP & Controller,2022-02-21,Option Exercise,0,1354,0,Feb 23 06:06 PM
Mollard John W,Acting CFO and VP & Treasurer,2021-12-03,Option Exercise,0,39,0,Dec 07 06:57 PM
Lavan Maryanne,SVP & General Counsel,2021-12-03,Option Exercise,0,135,0,Dec 07 06:57 PM
Hill Stephanie C.,Executive Vice President,2021-12-03,Option Exercise,0,152,0,Dec 07 06:57 PM
Ambrose Richard F,Executive Vice President,2021-12-03,Option Exercise,0,142,0,Dec 07 06:57 PM
Ulmer Gregory M,Executive Vice President,2021-12-03,Option Exercise,0,131,0,Dec 07 06:57 PM
Colan Brian P,VP & Controller,2021-12-03,Option Exercise,0,160,0,Dec 07 06:57 PM
St John Frank A,Chief Operating Officer,2021-12-03,Option Exercise,0,508,0,Dec 07 06:57 PM
Greene Scott T,Executive Vice President,2021-12-03,Option Exercise,0,131,0,Dec 07 06:57 PM
TAICLET JAMES D JR,"Chairman, President & CEO",2021-07-27,Option Exercise,0,7689,0,Jul 28 05:31 PM
