Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Rapino Michael,President & CEO,2022-05-06,Option Exercise,8.77,100000,877000,May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-06,Sale,93.08,78000,7260613,May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-05,Option Exercise,8.77,100000,877000,May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-05,Sale,95.2,78000,7425598,May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-04,Option Exercise,8.77,100000,877000,May 06 07:33 PM
Rapino Michael,President & CEO,2022-05-04,Sale,96.63,78000,7537476,May 06 07:33 PM
Rapino Michael,President & CEO,2022-04-29,Option Exercise,8.77,100000,877000,Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-29,Sale,106.46,78000,8303950,Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-28,Option Exercise,8.77,100000,877000,Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-28,Sale,106.87,78000,8335795,Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-27,Option Exercise,8.77,100000,877000,Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-27,Sale,106.73,78000,8324715,Apr 29 07:02 PM
Rapino Michael,President & CEO,2022-04-22,Option Exercise,8.77,100000,877000,Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-22,Sale,106.41,78000,8299611,Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-21,Option Exercise,8.77,100000,877000,Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-21,Sale,108.8,78000,8486404,Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-20,Option Exercise,8.77,100000,877000,Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-20,Sale,113.16,78000,8826121,Apr 22 06:53 PM
Rapino Michael,President & CEO,2022-04-14,Option Exercise,8.77,100000,877000,Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-14,Sale,112.49,78000,8774075,Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-13,Option Exercise,8.77,100000,877000,Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-13,Sale,112.26,78000,8756633,Apr 15 04:04 PM
Rapino Michael,President & CEO,2022-04-08,Option Exercise,8.77,100000,877000,Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-08,Sale,108.75,78000,8482655,Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-07,Option Exercise,8.77,100000,877000,Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-07,Sale,108.85,78000,8490613,Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-06,Option Exercise,8.77,100000,877000,Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-06,Sale,109.78,78000,8562916,Apr 08 08:42 PM
Rapino Michael,President & CEO,2022-04-01,Option Exercise,8.77,100000,877000,Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-04-01,Sale,115.92,78000,9041406,Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-03-31,Option Exercise,8.77,100000,877000,Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-03-31,Sale,118.56,78000,9247645,Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-03-30,Option Exercise,8.77,100000,877000,Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-03-30,Sale,118.06,78000,9208409,Apr 01 07:15 PM
Rapino Michael,President & CEO,2022-03-25,Option Exercise,8.77,100000,877000,Mar 25 07:02 PM
Rapino Michael,President & CEO,2022-03-25,Sale,116.15,78000,9059837,Mar 25 07:02 PM
Rapino Michael,President & CEO,2022-03-24,Option Exercise,8.71,100000,871000,Mar 25 07:02 PM
Rapino Michael,President & CEO,2022-03-24,Sale,117.16,78000,9138135,Mar 25 07:02 PM
Rapino Michael,President & CEO,2022-03-23,Option Exercise,8.71,100000,871000,Mar 25 07:02 PM
Rapino Michael,President & CEO,2022-03-23,Sale,115.68,78000,9023161,Mar 25 07:02 PM
Rapino Michael,President & CEO,2022-03-18,Option Exercise,8.71,100000,871000,Mar 18 07:46 PM
Rapino Michael,President & CEO,2022-03-18,Sale,112.07,78000,8741648,Mar 18 07:46 PM
Rapino Michael,President & CEO,2022-03-17,Option Exercise,8.71,100000,871000,Mar 18 07:46 PM
Rapino Michael,President & CEO,2022-03-17,Sale,109.81,78000,8564799,Mar 18 07:46 PM
Rapino Michael,President & CEO,2022-03-16,Option Exercise,8.71,100000,871000,Mar 18 07:46 PM
Rapino Michael,President & CEO,2022-03-16,Sale,111.3,78000,8681092,Mar 18 07:46 PM
Capo Brian,Chief Accounting Officer,2022-03-09,Sale,111.51,1900,211869,Mar 11 04:30 PM
KAHAN JAMES S,Director,2022-03-08,Buy,100.1,2600,260261,Mar 10 06:02 PM
Hopmans John,"EVP, M&A and Strategic Finance",2022-02-28,Option Exercise,25.33,36198,916895,Mar 01 06:38 PM
Hopmans John,"EVP, M&A and Strategic Finance",2022-02-28,Sale,123.6,36198,4474073,Mar 01 06:38 PM
Rowles Michael,EVP & General Counsel,2022-02-25,Option Exercise,11.69,46673,545607,Mar 01 06:39 PM
Hopmans John,"EVP, M&A and Strategic Finance",2022-02-25,Option Exercise,25.33,74802,1894735,Mar 01 06:38 PM
Hopmans John,"EVP, M&A and Strategic Finance",2022-02-25,Sale,125.22,74802,9366341,Mar 01 06:38 PM
Rowles Michael,EVP & General Counsel,2022-02-25,Sale,124.6,46673,5815598,Mar 01 06:39 PM
Rapino Michael,President & CEO,2021-06-30,Option Exercise,11.44,452600,5177744,Jul 02 09:58 PM
