Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Carpenter Melanie,EVP & CHRO,2022-07-29,Sale,186.27,1355,252395,Aug 01 04:24 PM
Grimes Thomas L Jr,"EVP, Chief Operating Officer",2022-04-29,Sale,202.5,20000,4049980,May 02 04:28 PM
BOLTON H ERIC JR,President and CEO,2022-04-05,Sale,213.19,7688,1639009,Apr 05 04:55 PM
Campbell Albert M III,"EVP, Chief Financial Officer",2022-04-05,Sale,212.81,3488,742273,Apr 05 04:49 PM
Carpenter Melanie,EVP & CHRO,2022-04-05,Sale,209.36,420,87931,Apr 05 04:45 PM
Grimes Thomas L Jr,"EVP, Chief Operating Officer",2022-04-05,Sale,212.76,3575,760629,Apr 05 04:35 PM
McGurk Monica Houle,Director,2022-02-04,Sale,215.39,3670,790483,Feb 07 05:59 PM
DelPriore Robert J.,"EVP, General Counsel",2022-01-14,Sale,218.49,4750,1037828,Jan 14 04:15 PM
BOLTON H ERIC JR,President and CEO,2022-01-11,Sale,214.49,4335,929814,Jan 11 04:52 PM
Campbell Albert M III,"EVP, Chief Financial Officer",2022-01-11,Sale,214.49,2304,494185,Jan 11 04:49 PM
Carpenter Melanie,EVP & CHRO,2022-01-11,Sale,214.49,235,50405,Jan 11 04:47 PM
Grimes Thomas L Jr,"EVP, Chief Operating Officer",2022-01-11,Sale,214.49,2361,506411,Jan 11 04:41 PM
Grimes Thomas L Jr,"EVP, Chief Operating Officer",2022-01-06,Sale,223.64,579,129488,Jan 06 06:17 PM
Carpenter Melanie,EVP & CHRO,2022-01-06,Sale,223.64,62,13866,Jan 06 06:14 PM
Campbell Albert M III,"EVP, Chief Financial Officer",2022-01-06,Sale,223.64,563,125909,Jan 06 06:10 PM
BOLTON H ERIC JR,President and CEO,2022-01-06,Sale,223.64,1461,326738,Jan 06 06:07 PM
Carpenter Melanie,EVP & CHRO,2021-12-13,Sale,218.27,463,101057,Dec 15 04:18 PM
DelPriore Robert J.,"EVP, General Counsel",2021-11-29,Sale,205.34,5000,1026720,Nov 30 04:21 PM
Campbell Albert M III,"EVP, Chief Financial Officer",2021-10-04,Sale,188.32,10000,1883225,Oct 05 05:00 PM
Grimes Thomas L Jr,"EVP, Chief Operating Officer",2021-10-04,Sale,188.63,10000,1886282,Oct 05 04:55 PM
STOCKERT DAVID P,Director,2021-09-03,Sale,195,3500,682500,Sep 07 04:31 PM
