Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SALEM PAUL J,Director,2022-06-13,Buy,28.92,34500,997695,Jun 13 07:22 PM
SALEM PAUL J,Director,2022-05-25,Buy,31.25,3500,109370,May 27 05:43 PM
Swartz Janet,Director,2022-05-04,Option Exercise,0,4499,0,May 06 05:01 PM
TAYLOR DANIEL J,Director,2022-05-04,Option Exercise,0,4499,0,May 06 05:02 PM
Mckinney-James Rose,Director,2022-05-04,Option Exercise,0,1350,0,May 06 04:54 PM
HERMAN ALEXIS,Director,2022-05-04,Option Exercise,0,4499,0,May 06 04:49 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-21,Sale,44.14,796,35134,Apr 22 05:23 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-04-20,Sale,43,10000,430000,Apr 22 05:27 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-20,Sale,44,100,4400,Apr 22 05:23 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-04,Sale,42.44,17034,722894,Apr 05 04:55 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-01,Option Exercise,0,8855,0,Apr 05 04:55 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2022-04-01,Option Exercise,0,6529,0,Apr 05 04:46 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-04-01,Option Exercise,0,301436,0,Apr 05 04:44 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-04-01,Sale,41.85,12966,542650,Apr 05 04:55 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-02-27,Option Exercise,0,4605,0,Mar 01 05:49 PM
HERMAN ALEXIS,Director,2022-02-23,Sale,43.62,3250,141765,Feb 23 05:22 PM
JAMMET MARY CHRIS,Director,2022-02-22,Sale,43.24,8440,364946,Feb 23 05:19 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-02-21,Option Exercise,0,3125,0,Feb 23 05:13 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-02-21,Option Exercise,0,2790,0,Feb 23 05:15 PM
Swartz Janet,Director,2022-02-17,Buy,44.13,5628,248387,Feb 18 04:52 PM
Meister Keith A.,Director,2022-02-14,Sale,45,4500000,202500000,Feb 15 06:00 PM
Halkyard Jonathan S,CHIEF FINANCIAL OFFICER,2022-02-01,Option Exercise,0,7689,0,Feb 03 05:11 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2022-01-03,Sale,45.01,40000,1800432,Jan 04 09:25 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2022-01-03,Sale,44.97,60000,2697978,Jan 04 09:24 PM
Meinert Todd,SVP & Chief Accounting Officer,2021-11-14,Option Exercise,0,1578,0,Nov 16 07:55 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2021-11-14,Option Exercise,0,3207,0,Nov 16 07:54 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2021-11-14,Option Exercise,0,8019,0,Nov 16 07:53 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2021-11-14,Option Exercise,0,8019,0,Nov 16 07:56 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2021-11-08,Sale,50.04,7000,350260,Nov 09 05:53 PM
Meinert Todd,SVP & Chief Accounting Officer,2021-11-08,Sale,50.14,6000,300840,Nov 09 05:54 PM
HERMAN ALEXIS,Director,2021-11-08,Sale,50.67,3200,162134,Nov 09 05:14 PM
Meinert Todd,SVP & Chief Accounting Officer,2021-10-19,Option Exercise,0,1917,0,Oct 21 07:30 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2021-10-19,Option Exercise,0,10713,0,Oct 21 07:29 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2021-10-19,Option Exercise,0,4869,0,Oct 21 07:26 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2021-10-19,Option Exercise,0,10713,0,Oct 21 07:24 PM
Meinert Todd,SVP & Chief Accounting Officer,2021-10-07,Option Exercise,0,1841,0,Oct 12 04:14 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2021-10-01,Sale,44.15,40000,1766164,Oct 04 06:00 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2021-10-01,Sale,43.78,60000,2626740,Oct 04 05:55 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2021-09-23,Sale,44,10000,440000,Sep 24 05:21 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2021-09-23,Sale,44,10000,440000,Sep 24 05:19 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2021-08-27,Sale,43.35,10000,433467,Aug 27 07:24 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2021-08-25,Sale,42,20000,840000,Aug 25 05:08 PM
HERMAN ALEXIS,Director,2021-08-25,Sale,41.95,2500,104862,Aug 25 07:50 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2021-08-24,Sale,40,10000,400000,Aug 25 05:08 PM
SANDERS COREY IAN,CHIEF OPERATING OFFICER,2021-08-18,Option Exercise,0,20292,0,Aug 20 05:06 PM
McManus John,EVP GENERAL COUNSEL AND SECY,2021-08-18,Option Exercise,0,8356,0,Aug 20 05:04 PM
Meinert Todd,SVP & Chief Accounting Officer,2021-08-18,Option Exercise,0,2350,0,Aug 20 05:03 PM
HORNBUCKLE WILLIAM,CEO AND PRESIDENT,2021-08-18,Option Exercise,0,38198,0,Aug 20 05:01 PM
