Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SACKS RODNEY C,Chairman and Co-CEO,2022-06-08,Sale,90.25,65682,5927800,Jun 09 09:31 PM
SCHLOSBERG HILTON H,Vice Chairman and Co-CEO,2022-06-08,Sale,90.25,65682,5927800,Jun 09 09:33 PM
Carling Guy,President of EMEA,2022-06-07,Option Exercise,47.42,34667,1643870,Jun 09 09:35 PM
Carling Guy,President of EMEA,2022-06-07,Sale,90.73,26299,2386108,Jun 09 09:35 PM
SCHLOSBERG HILTON H,Vice Chairman and Co-CEO,2022-06-07,Sale,91,50000,4550000,Jun 09 09:33 PM
SACKS RODNEY C,Chairman and Co-CEO,2022-06-07,Sale,91,50000,4550000,Jun 09 09:31 PM
Tirre Emelie,President of the Americas,2022-05-13,Option Exercise,43.78,40729,1782919,May 17 06:43 PM
Tirre Emelie,President of the Americas,2022-05-13,Sale,88.06,40729,3586780,May 17 06:43 PM
Tirre Emelie,President of the Americas,2021-08-18,Option Exercise,43.99,2271,99901,Aug 18 08:29 PM
Tirre Emelie,President of the Americas,2021-08-16,Option Exercise,43.99,42000,1847580,Aug 18 08:29 PM
Tirre Emelie,President of the Americas,2021-08-16,Sale,98.24,42000,4126080,Aug 18 08:29 PM
