Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
WOLF DALE B,Director,2022-06-07,Option Exercise,33.02,2000,66040,Jun 07 08:59 PM
ROMNEY RONNA,Director,2022-05-06,Sale,307.94,200,61588,May 06 07:42 PM
ROMNEY RONNA,Director,2022-03-15,Sale,314.36,200,62872,Mar 16 06:55 PM
ORLANDO STEVEN J,Director,2022-03-08,Sale,311,591,183801,Mar 08 07:57 PM
Barlow Jeff D.,Chief Legal Officer,2022-03-04,Sale,315,5000,1575000,Mar 04 06:56 PM
ROMNEY RONNA,Director,2022-02-23,Sale,307.97,105,32337,Feb 23 06:49 PM
ROMNEY RONNA,Director,2022-02-22,Sale,313.21,195,61076,Feb 23 06:49 PM
COOPERMAN DANIEL,Director,2021-11-15,Option Exercise,33.02,5000,165100,Nov 16 07:52 PM
COOPERMAN DANIEL,Director,2021-11-15,Sale,309.13,5000,1545650,Nov 16 07:52 PM
ROMNEY RONNA,Director,2021-11-08,Sale,305.01,300,91503,Nov 09 07:25 PM
ROMNEY RONNA,Director,2021-08-09,Sale,265.16,300,79548,Aug 11 08:13 PM
WOLF DALE B,Director,2021-08-03,Option Exercise,33.02,2500,82550,Aug 05 07:53 PM
WOLF DALE B,Director,2021-08-03,Sale,277.19,2500,692975,Aug 05 07:53 PM
