Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Garay Arpa,SVP Human Health Global Mktg.,2022-05-04,Option Exercise,87.1,907,79000,May 05 05:24 PM
Oosthuizen Johannes Jacobus,"SVP, U.S. Market",2022-05-04,Option Exercise,87.1,907,79000,May 05 05:27 PM
Karachun Rita A,Sr. VP Fince-Global Controller,2022-05-04,Option Exercise,87.1,949,82658,May 05 05:19 PM
Klobuchar Michael A,EVP - Chief Strategy Officer,2022-05-04,Option Exercise,87.1,885,77084,May 05 05:07 PM
LeCointe-Cephas Lisa,SVP Chief Ethics & Com Officer,2022-05-04,Option Exercise,87.1,813,70812,May 05 05:04 PM
LeCointe-Cephas Lisa,SVP Chief Ethics & Com Officer,2022-05-03,Option Exercise,87.65,452,39618,May 04 05:58 PM
Litchfield Caroline,EVP & CFO,2022-05-03,Option Exercise,87.65,773,67753,May 04 05:54 PM
Li Dean Y,"Executive VP & President, MRL",2022-05-03,Option Exercise,87.65,773,67753,May 04 05:50 PM
Williams David Michael,"EVP,Chief Info&Digital Officer",2022-05-03,Option Exercise,87.65,427,37427,May 04 05:44 PM
Karachun Rita A,Sr. VP Fince-Global Controller,2022-05-03,Option Exercise,87.65,902,79060,May 04 05:37 PM
Oosthuizen Johannes Jacobus,"SVP, U.S. Market",2022-05-03,Option Exercise,87.65,773,67753,May 04 05:30 PM
Klobuchar Michael A,EVP - Chief Strategy Officer,2022-05-03,Option Exercise,87.65,773,67753,May 04 04:53 PM
Garay Arpa,SVP Human Health Global Mktg.,2022-05-03,Option Exercise,87.65,773,67753,May 04 04:45 PM
Garay Arpa,SVP Human Health Global Mktg.,2022-05-03,Option Exercise,87.65,773,67753,May 04 04:44 PM
LeCointe-Cephas Lisa,SVP Chief Ethics & Com Officer,2022-05-01,Option Exercise,88.69,640,56762,May 03 04:25 PM
Williams David Michael,"EVP,Chief Info&Digital Officer",2022-05-01,Option Exercise,88.69,577,51174,May 03 04:19 PM
Li Dean Y,"Executive VP & President, MRL",2022-05-01,Option Exercise,88.69,1061,94100,May 03 04:21 PM
Litchfield Caroline,EVP & CFO,2022-05-01,Option Exercise,88.69,866,76806,May 03 04:22 PM
Karachun Rita A,Sr. VP Fince-Global Controller,2022-05-01,Option Exercise,88.69,928,82304,May 03 04:17 PM
Oosthuizen Johannes Jacobus,"SVP, U.S. Market",2022-05-01,Option Exercise,88.69,866,76806,May 03 04:16 PM
Klobuchar Michael A,EVP - Chief Strategy Officer,2022-05-01,Option Exercise,88.69,866,76806,May 03 04:13 PM
Garay Arpa,SVP Human Health Global Mktg.,2022-05-01,Option Exercise,88.69,866,76806,May 03 04:11 PM
Williams David Michael,"EVP,Chief Info&Digital Officer",2022-02-10,Option Exercise,76.53,1202,91989,Feb 14 11:13 AM
FRAZIER KENNETH C,Executive Chair,2021-11-09,Option Exercise,0,663881,0,Nov 10 04:06 PM
FRAZIER KENNETH C,Executive Chair,2021-11-09,Sale,82.26,663881,54611362,Nov 10 04:06 PM
Litchfield Caroline,EVP & CFO,2021-11-04,Option Exercise,0,22683,0,Nov 05 04:22 PM
DeLuca Richard R.,"EVP&Pres, Merck Animal Heallth",2021-11-04,Option Exercise,0,29782,0,Nov 05 04:24 PM
DeLuca Richard R.,"EVP&Pres, Merck Animal Heallth",2021-11-04,Sale,90.4,29782,2692299,Nov 05 04:24 PM
Litchfield Caroline,EVP & CFO,2021-11-04,Sale,91,18335,1668503,Nov 05 04:22 PM
Karachun Rita A,Sr. VP Fince-Global Controller,2021-11-03,Option Exercise,0,25000,0,Nov 04 04:19 PM
Karachun Rita A,Sr. VP Fince-Global Controller,2021-11-03,Sale,88.45,25000,2211215,Nov 04 04:19 PM
Clyburn Frank,EVP & Pres ? Human Health,2021-11-01,Option Exercise,0,39762,0,Nov 02 06:16 PM
Gerberding Julie L.,"EVP, Chief Patient Officer",2021-11-01,Option Exercise,0,96270,0,Nov 03 04:11 PM
Gerberding Julie L.,"EVP, Chief Patient Officer",2021-11-01,Sale,87.91,96270,8462682,Nov 03 04:11 PM
Clyburn Frank,EVP & Pres ? Human Health,2021-11-01,Sale,87.87,39762,3493879,Nov 02 06:16 PM
Clyburn Frank,EVP & Pres ? Human Health,2021-10-30,Option Exercise,88.05,2358,207622,Nov 02 06:16 PM
MIZELL STEVEN,"EVP, Chief HR Officer",2021-10-30,Option Exercise,88.05,4715,415156,Nov 02 06:11 PM
DeLuca Richard R.,"EVP&Pres, Merck Animal Heallth",2021-10-29,Option Exercise,0,135405,0,Nov 02 06:12 PM
Chattopadhyay Sanat,Exe V-P & Pres. MMD,2021-10-29,Option Exercise,0,24619,0,Nov 02 06:14 PM
DeLuca Richard R.,"EVP&Pres, Merck Animal Heallth",2021-10-29,Sale,87.56,135405,11856265,Nov 02 06:12 PM
Chattopadhyay Sanat,Exe V-P & Pres. MMD,2021-10-29,Sale,87.32,24619,2149731,Nov 02 06:14 PM
