Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
BROWN GREGORY Q,Chairman and CEO,2022-06-07,Sale,219.75,25000,5493789,Jun 09 04:14 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-22,Option Exercise,0,14136,0,Mar 24 04:20 PM
HACKER MARK S.,"EVP, GC & Chief Admin Officer",2022-03-22,Option Exercise,0,2289,0,Mar 24 04:19 PM
NAIK RAJAN,"SVP, Strategy & Ventures",2022-03-22,Option Exercise,0,1526,0,Mar 24 04:18 PM
MOLLOY JOHN P,EVP and COO,2022-03-22,Option Exercise,0,3178,0,Mar 24 04:19 PM
YAZDI CYNTHIA,"SVP, Communications & Brand",2022-03-22,Option Exercise,0,1526,0,Mar 24 04:17 PM
YAZDI CYNTHIA,"SVP, Communications & Brand",2022-03-13,Option Exercise,0,1610,0,Mar 14 04:36 PM
NAIK RAJAN,"SVP, Strategy & Ventures",2022-03-13,Option Exercise,0,1857,0,Mar 14 04:30 PM
MOLLOY JOHN P,EVP and COO,2022-03-13,Option Exercise,0,3962,0,Mar 14 04:28 PM
HACKER MARK S.,"EVP, GC & Chief Admin Officer",2022-03-13,Option Exercise,0,2600,0,Mar 14 04:26 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-13,Option Exercise,0,17458,0,Mar 14 04:24 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-08,Option Exercise,43.01,29094,1251426,Mar 09 04:41 PM
YAZDI CYNTHIA,"SVP, Communications & Brand",2022-03-08,Option Exercise,0,999,0,Mar 09 04:39 PM
WINKLER JASON J,EVP and CFO,2022-03-08,Option Exercise,0,2348,0,Mar 09 04:37 PM
NAIK RAJAN,"SVP, Strategy & Ventures",2022-03-08,Option Exercise,0,1154,0,Mar 09 04:31 PM
MOLLOY JOHN P,EVP and COO,2022-03-08,Option Exercise,0,2494,0,Mar 09 04:28 PM
HACKER MARK S.,"EVP, GC & Chief Admin Officer",2022-03-08,Option Exercise,0,1651,0,Mar 09 04:24 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-08,Sale,215.65,18269,3939745,Mar 09 04:41 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-07,Option Exercise,68.5,100000,6850000,Mar 09 04:41 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-07,Sale,218.02,100000,21802379,Mar 09 04:41 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-04,Option Exercise,68.5,100000,6850000,Mar 07 04:13 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-04,Sale,221.61,100000,22161217,Mar 07 04:13 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-03,Option Exercise,51.33,81731,4195252,Mar 07 04:13 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-03,Sale,221.92,81731,18137763,Mar 07 04:13 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-02,Option Exercise,51.33,100000,5133000,Mar 03 04:23 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-02,Sale,221.84,100000,22184029,Mar 03 04:23 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-01,Option Exercise,51.33,100000,5133000,Mar 03 04:23 PM
BROWN GREGORY Q,Chairman and CEO,2022-03-01,Sale,216.63,100000,21663285,Mar 03 04:23 PM
PEKOFSKE DANIEL G,CVP and CAO,2021-08-30,Sale,243.01,232,56378,Aug 31 04:13 PM
PEKOFSKE DANIEL G,CVP and CAO,2021-08-27,Option Exercise,151.81,1466,222553,Aug 31 04:13 PM
PEKOFSKE DANIEL G,CVP and CAO,2021-08-27,Sale,244.07,1466,357807,Aug 31 04:13 PM
MOLLOY JOHN P,"EVP, Products & Sales",2021-07-02,Sale,220,7955,1750100,Jul 07 04:10 PM
