Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Warren Edna Jennifer,Sr. Executive Vice President,2022-07-25,Buy,171.2,6,1027,Jul 28 04:16 PM
Bojdak Robert J,Sr. Executive Vice President,2022-06-08,Sale,177.82,525,93356,Jun 09 04:02 PM
KAY CHRISTOPHER E,Sr. Executive Vice President,2022-06-03,Sale,178.83,2200,393426,Jun 07 04:19 PM
Meister Doris P.,Sr. Executive Vice President,2022-06-01,Option Exercise,156.71,10332,1619115,Jun 03 04:35 PM
Meister Doris P.,Sr. Executive Vice President,2022-06-01,Sale,176.67,9813,1733683,Jun 03 04:35 PM
Warman D Scott N,Sr. Executive Vice President,2022-06-01,Sale,177.78,2000,355557,Jun 03 04:36 PM
GEISEL GARY N,Director,2022-05-27,Sale,178.59,1051,187696,Jun 01 03:57 PM
PEARSON KEVIN J,Vice Chairman,2022-05-17,Sale,169.71,5000,848525,May 19 05:03 PM
Warman D Scott N,Executive Vice President,2021-11-12,Sale,159.88,3964,633773,Nov 16 04:32 PM
Bojdak Robert J,Executive Vice President,2021-10-25,Sale,158.76,770,122242,Oct 27 04:33 PM
