Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Allnutt Lauren E,EVP & Controller,2022-03-10,Sale,105.61,393,41505,Mar 14 05:28 PM
Tyler Jason J.,EVP & Chief Financial Officer,2022-01-31,Option Exercise,43.65,3437,150025,Feb 02 05:19 PM
Tyler Jason J.,EVP & Chief Financial Officer,2022-01-31,Sale,115.6,1936,223802,Feb 02 05:19 PM
O'Grady Michael,"Chairman, President and CEO",2021-12-09,Option Exercise,43.65,48110,2100002,Dec 10 06:14 PM
South Thomas A,Executive Vice President,2021-12-09,Sale,118.22,2000,236440,Dec 10 06:14 PM
O'Grady Michael,"Chairman, President and CEO",2021-12-09,Sale,119.03,48110,5726533,Dec 10 06:14 PM
St Clair Joyce,Executive Vice President,2021-11-03,Sale,125,9395,1174375,Nov 05 05:48 PM
Parker Teresa,Executive Vice President,2021-10-22,Sale,125.22,4000,500880,Oct 26 05:29 PM
Cherecwich Peter,President/C&IS,2021-10-22,Sale,126.24,11915,1504185,Oct 26 05:28 PM
St Clair Joyce,Executive Vice President,2021-08-11,Option Exercise,79.56,49871,3967899,Aug 13 05:32 PM
St Clair Joyce,Executive Vice President,2021-08-11,Sale,116,49871,5785036,Aug 13 05:32 PM
Thomas Shundrawn A,President / Asset Management,2021-07-27,Option Exercise,58.25,5000,291250,Jul 28 05:45 PM
Thomas Shundrawn A,President / Asset Management,2021-07-27,Sale,112.47,5000,562350,Jul 28 05:45 PM
