Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
OREILLY DAVID E,EV CHAIRMAN OF THE BOARD,2022-07-28,Sale,700,7145,5001500,Aug 01 04:31 PM
Groves Jeffrey Lynn,SVP OF LEGAL & GENERAL COUNSEL,2022-05-23,Buy,572.77,175,100235,May 23 04:35 PM
FLETCHER JEREMY ADAM,EVP & CFO,2022-05-20,Buy,600,835,501000,May 23 04:39 PM
VENOSDEL RICHARD DARIN,SVP OF INVENTORY MANAGEMENT,2022-04-07,Option Exercise,258.61,7327,1894833,Apr 11 04:46 PM
VENOSDEL RICHARD DARIN,SVP OF INVENTORY MANAGEMENT,2022-04-07,Sale,725,4754,3446650,Apr 11 04:46 PM
LAURO JEFFREY ALAN,SVP OF INFORMATION TECHNOLOGY,2022-02-23,Buy,630,80,50400,Feb 25 04:31 PM
OREILLY LAWRENCE P,Director,2022-02-18,Sale,682.92,1500,1024385,Feb 23 04:26 PM
HENDRICKSON THOMAS,Director,2022-02-16,Sale,673.69,400,269477,Feb 17 04:32 PM
VENOSDEL RICHARD DARIN,SVP OF INVENTORY MANAGEMENT,2021-12-29,Option Exercise,180.46,6531,1178584,Jan 03 04:32 PM
VENOSDEL RICHARD DARIN,SVP OF INVENTORY MANAGEMENT,2021-12-29,Sale,702.63,6531,4588850,Jan 03 04:32 PM
WILBANKS CARL DAVID,SVP OF MERCHANDISE,2021-11-24,Option Exercise,87.79,5000,438950,Nov 29 04:33 PM
WILBANKS CARL DAVID,SVP OF MERCHANDISE,2021-11-24,Sale,645.95,5000,3229752,Nov 29 04:33 PM
Groves Jeffrey Lynn,SVP OF LEGAL & GENERAL COUNSEL,2021-11-19,Option Exercise,102.62,400,41048,Nov 22 05:17 PM
Groves Jeffrey Lynn,SVP OF LEGAL & GENERAL COUNSEL,2021-11-19,Sale,638.52,400,255407,Nov 22 05:17 PM
McFall Thomas,CFO & EVP,2021-11-10,Option Exercise,132.29,7534,996673,Nov 12 04:32 PM
McFall Thomas,CFO & EVP,2021-11-10,Sale,647.18,7534,4875830,Nov 12 04:32 PM
McFall Thomas,CFO & EVP,2021-11-09,Option Exercise,132.29,8511,1125920,Nov 12 04:32 PM
HENSLEE GREGORY L,CHAIRMAN OF THE BOARD,2021-11-09,Option Exercise,92.65,7500,694875,Nov 12 04:34 PM
HENSLEE GREGORY L,CHAIRMAN OF THE BOARD,2021-11-09,Sale,644.57,7500,4834250,Nov 12 04:34 PM
McFall Thomas,CFO & EVP,2021-11-09,Sale,643,8511,5472592,Nov 12 04:32 PM
SHAW JEFF M,COO & CO-PRESIDENT,2021-10-21,Option Exercise,262.38,9024,2367717,Oct 25 04:30 PM
SHAW JEFF M,COO & CO-PRESIDENT,2021-10-21,Sale,654.96,9024,5910367,Oct 25 04:30 PM
OREILLY DAVID E,EV CHAIRMAN OF THE BOARD,2021-08-25,Sale,605,10000,6050044,Aug 26 03:13 PM
OREILLY DAVID E,EV CHAIRMAN OF THE BOARD,2021-08-25,Sale,605,5000,3025022,Aug 26 03:13 PM
OREILLY DAVID E,EV CHAIRMAN OF THE BOARD,2021-08-19,Sale,601.56,10000,6015590,Aug 23 05:59 PM
OREILLY DAVID E,EV CHAIRMAN OF THE BOARD,2021-08-19,Sale,601.56,5000,3007795,Aug 23 05:59 PM
KRAUS SCOTT E,SVP OF REAL ESTATE & EXPANSION,2021-08-18,Option Exercise,102.62,3432,352192,Aug 19 04:58 PM
