Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
LaRossa Ralph A,COO,2022-08-01,Sale,65.76,1054,69311,Aug 02 03:15 PM
LaRossa Ralph A,COO,2022-07-29,Sale,65.75,1054,69305,Aug 02 03:15 PM
Chernick Rose M,Vice President and Controller,2022-07-05,Sale,64.45,200,12890,Jul 06 12:23 PM
IZZO RALPH,"Chairman, President and CEO",2022-07-01,Sale,64.15,9883,633963,Jul 05 01:49 PM
Chernick Rose M,Vice President and Controller,2022-06-06,Sale,68.84,200,13768,Jun 07 03:07 PM
IZZO RALPH,"Chairman, President and CEO",2022-06-01,Sale,68.1,9883,673069,Jun 03 10:35 AM
Chernick Rose M,Vice President and Controller,2022-05-04,Sale,68.91,200,13782,May 05 02:49 PM
IZZO RALPH,"Chairman, President and CEO",2022-05-02,Sale,68.95,9883,681476,May 04 09:17 AM
Chernick Rose M,Vice President and Controller,2022-04-04,Sale,70.65,200,14130,Apr 05 10:32 AM
IZZO RALPH,"Chairman, President and CEO",2022-04-01,Sale,70.44,9883,696154,Apr 05 12:11 PM
Chernick Rose M,Vice President and Controller,2022-03-04,Sale,66.02,200,13204,Mar 07 05:08 PM
LaRossa Ralph A,COO,2022-03-01,Sale,64.47,4890,315235,Mar 03 02:24 PM
IZZO RALPH,"Chairman, President and CEO",2022-03-01,Sale,64.46,9883,637074,Mar 03 04:02 PM
Chernick Rose M,Vice President and Controller,2022-02-04,Sale,66.56,200,13312,Feb 07 06:06 PM
IZZO RALPH,"Chairman, President and CEO",2022-02-01,Sale,66.15,9883,653775,Feb 04 06:00 AM
LaRossa Ralph A,COO,2022-02-01,Sale,66.17,4890,323557,Feb 04 06:00 AM
Cregg Daniel J,Executive VP & CFO,2022-01-18,Option Exercise,40.34,7280,293664,Jan 20 06:00 PM
Chernick Rose M,Vice President and Controller,2022-01-04,Sale,66.13,200,13226,Jan 05 12:55 PM
IZZO RALPH,"Chairman, President and CEO",2022-01-03,Sale,65.69,9883,649253,Jan 05 10:19 AM
LaRossa Ralph A,COO,2022-01-03,Sale,65.97,4890,322583,Jan 04 08:57 PM
IZZO RALPH,"Chairman, President and CEO",2021-12-01,Sale,63.19,9883,624548,Dec 03 11:42 AM
LaRossa Ralph A,COO,2021-12-01,Sale,63.14,4890,308750,Dec 03 11:42 AM
Chernick Rose M,Vice President and Controller,2021-11-17,Sale,62.65,400,25060,Nov 19 10:08 AM
IZZO RALPH,"Chairman, President and CEO",2021-11-01,Sale,64.18,9883,634244,Nov 03 06:04 PM
LaRossa Ralph A,COO,2021-11-01,Sale,64.17,4890,313784,Nov 03 06:04 PM
Chernick Rose M,Vice President and Controller,2021-10-18,Sale,61.56,400,24624,Oct 19 03:05 PM
IZZO RALPH,"Chairman, President and CEO",2021-10-01,Sale,60.66,9883,599546,Oct 05 04:33 PM
LaRossa Ralph A,COO,2021-10-01,Sale,60.83,4890,297458,Oct 05 03:28 PM
Chernick Rose M,Vice President and Controller,2021-09-17,Sale,62.95,400,25180,Sep 21 10:58 AM
LaRossa Ralph A,COO,2021-09-01,Sale,64.6,4890,315876,Sep 03 12:38 PM
Chernick Rose M,Vice President and Controller,2021-08-17,Sale,64.71,400,25884,Aug 18 01:12 PM
LaRossa Ralph A,COO,2021-08-02,Sale,62.85,4890,307351,Aug 04 07:44 AM
Chernick Rose M,Vice President and Controller,2021-07-19,Sale,61.34,400,24536,Jul 21 12:36 PM
