Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Snyder Barbara R,Director,2022-07-01,Option Exercise,0,4892,0,Jul 05 04:25 PM
Mascaro Daniel P,"Vice Pres, Secretary and CLO",2022-05-24,Sale,112.94,558,63021,May 25 04:19 PM
Broz Steven,Chief Information Officer,2022-05-04,Sale,112.59,1067,120134,May 05 03:07 PM
Bailo Karen,Commercial Lines President,2022-05-01,Option Exercise,0,2806,0,May 03 04:14 PM
Mascaro Daniel P,"Vice Pres, Secretary and CLO",2022-04-21,Sale,113.59,558,63383,Apr 22 03:41 PM
KELLY JEFFREY D,Director,2022-04-07,Sale,120,10000,1200000,Apr 08 04:31 PM
KELLY JEFFREY D,Director,2022-04-04,Sale,115,10000,1150000,Apr 06 02:43 PM
Broz Steven,Chief Information Officer,2022-04-04,Sale,115,1068,122820,Apr 06 02:55 PM
Callahan Patrick K,Personal Lines President,2022-03-22,Sale,112.87,3231,364683,Mar 24 11:54 AM
Griffith Susan Patricia,President and CEO,2022-03-18,Sale,110.26,46735,5153085,Mar 21 06:01 PM
Broz Steven,Chief Information Officer,2022-03-04,Sale,106.65,1068,113901,Mar 08 02:25 PM
Callahan Patrick K,Personal Lines President,2022-02-22,Sale,106.82,3230,345029,Feb 24 02:09 PM
Broz Steven,Chief Information Officer,2022-02-04,Sale,109.49,1068,116935,Feb 07 09:31 AM
Callahan Patrick K,Personal Lines President,2022-02-01,Sale,108.25,3230,349648,Feb 02 11:28 AM
Snyder Barbara R,Director,2022-01-05,Option Exercise,0,6004,0,Jan 07 11:25 AM
Broz Steven,Chief Information Officer,2022-01-05,Sale,102.4,1068,109363,Jan 06 01:57 PM
Quigg Andrew J,Chief Strategy Officer,2022-01-04,Sale,102.24,1391,142216,Jan 06 02:22 PM
Murphy John Jo,Claims President,2022-01-04,Sale,102.24,5140,525514,Jan 06 02:16 PM
Marshall Mariann Wojtkun,Chief Accounting Officer,2022-01-04,Sale,102.24,176,17994,Jan 06 02:13 PM
Callahan Patrick K,Personal Lines President,2022-01-04,Sale,102.24,6261,640125,Jan 06 02:06 PM
Charney M Jeffrey,Chief Marketing Officer,2022-01-01,Option Exercise,0,4943,0,Jan 04 05:02 PM
Sieger Michael D,Claims President,2022-01-01,Option Exercise,0,4329,0,Jan 04 03:59 PM
Sauerland John P,VP and Chief Financial Officer,2022-01-01,Option Exercise,0,23357,0,Jan 04 03:56 PM
Quigg Andrew J,Chief Strategy Officer,2022-01-01,Option Exercise,0,4935,0,Jan 04 03:52 PM
Murphy John Jo,Claims President,2022-01-01,Option Exercise,0,7421,0,Jan 04 03:48 PM
Mascaro Daniel P,"Vice Pres, Secretary and CLO",2022-01-01,Option Exercise,0,3949,0,Jan 04 03:43 PM
Marshall Mariann Wojtkun,Chief Accounting Officer,2022-01-01,Option Exercise,0,686,0,Jan 04 03:39 PM
Kent Remi,Chief Marketing Officer,2022-01-01,Option Exercise,0,5356,0,Jan 04 03:35 PM
Griffith Susan Patricia,President and CEO,2022-01-01,Option Exercise,0,42010,0,Jan 04 03:30 PM
Clawson William L. II,Chief Human Resources Officer,2022-01-01,Option Exercise,0,1715,0,Jan 04 03:24 PM
Callahan Patrick K,Personal Lines President,2022-01-01,Option Exercise,0,8785,0,Jan 04 03:04 PM
Broz Steven,Chief Information Officer,2022-01-01,Option Exercise,0,7709,0,Jan 04 02:58 PM
