Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
NIBLOCK ROBERT A,Director,2022-05-06,Buy,167.07,2000,334145,May 10 01:55 PM
Deborah Guild,Executive Vice President,2022-05-03,Sale,170.56,1257,214398,May 05 01:48 PM
Lyons Michael P.,Executive Vice President,2022-03-14,Sale,182.59,5500,1004228,Mar 16 03:07 PM
HANNON MICHAEL J,Executive Vice President,2022-02-16,Sale,208.36,3000,625083,Feb 17 04:20 PM
Pfinsgraff Martin,Director,2021-12-15,Sale,199.31,7,1395,Dec 17 03:55 PM
Lyons Michael P.,Executive Vice President,2021-12-14,Sale,198.6,5000,993025,Dec 15 02:17 PM
Fallon Kieran John,Executive Vice President,2021-12-01,Sale,202.02,125,25252,Dec 02 03:02 PM
Fallon Kieran John,Executive Vice President,2021-11-16,Sale,204.99,125,25624,Nov 17 11:26 AM
Fallon Kieran John,Executive Vice President,2021-11-01,Sale,213.28,125,26660,Nov 03 02:21 PM
HANNON MICHAEL J,Executive Vice President,2021-10-25,Sale,216.2,3000,648597,Oct 27 09:27 AM
Fallon Kieran John,Executive Vice President,2021-10-18,Sale,197.79,125,24724,Oct 19 11:19 AM
Fallon Kieran John,Executive Vice President,2021-10-01,Sale,194.53,125,24316,Oct 05 03:37 PM
Fallon Kieran John,Executive Vice President,2021-09-16,Sale,191.61,125,23951,Sep 17 03:42 PM
Fallon Kieran John,Executive Vice President,2021-09-01,Sale,191.75,125,23969,Sep 03 08:41 AM
Fallon Kieran John,Executive Vice President,2021-08-16,Sale,188.96,125,23620,Aug 17 04:56 PM
Fallon Kieran John,Executive Vice President,2021-08-02,Sale,183.53,125,22941,Aug 04 04:42 PM
HANNON MICHAEL J,Executive Vice President,2021-07-21,Sale,184.16,4200,773464,Jul 23 02:53 PM
Fallon Kieran John,Executive Vice President,2021-07-16,Sale,190.13,125,23766,Jul 19 02:18 PM
Fallon Kieran John,Executive Vice President,2021-07-01,Sale,191.47,125,23934,Jul 06 03:49 PM
