Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
CASELLAS GILBERT F,Director,2022-05-10,Option Exercise,0,1494,0,May 12 03:58 PM
POON CHRISTINE A,Director,2022-05-10,Option Exercise,0,1494,0,May 12 04:23 PM
KRAPEK KARL J,Director,2022-05-10,Option Exercise,0,1494,0,May 12 04:09 PM
CASELLAS GILBERT F,Director,2022-05-10,Option Exercise,0,1494,0,May 12 03:58 PM
POON CHRISTINE A,Director,2022-05-10,Option Exercise,0,1494,0,May 12 04:23 PM
KRAPEK KARL J,Director,2022-05-10,Option Exercise,0,1494,0,May 12 04:09 PM
CASELLAS GILBERT F,Director,2022-05-10,Option Exercise,0,1494,0,May 12 03:58 PM
SULLIVAN ANDREW F,Executive Vice President,2022-03-04,Sale,106.28,2231,237119,Mar 07 10:25 AM
Silitch Nicholas C,Senior Vice President,2022-03-03,Sale,109.74,2000,219480,Mar 07 10:19 AM
Silitch Nicholas C,Senior Vice President,2022-02-28,Option Exercise,0,3316,0,Mar 02 02:13 PM
SCHMIDT TIMOTHY L,Senior Vice President,2022-02-28,Option Exercise,0,2088,0,Mar 02 02:10 PM
Lowrey Charles F,Chief Executive Officer,2022-02-28,Option Exercise,0,11564,0,Mar 02 02:07 PM
KAPPLER ANN M,EVP and General Counsel,2022-02-28,Option Exercise,0,1791,0,Mar 02 02:04 PM
GOODMAN STACEY,Executive Vice President,2022-02-28,Option Exercise,0,1944,0,Mar 02 02:04 PM
FALZON ROBERT,EVP and Vice Chairman,2022-02-28,Option Exercise,0,9210,0,Mar 02 01:58 PM
Axel Robert,SVP and Controller,2022-02-28,Option Exercise,0,859,0,Mar 02 01:54 PM
Alziari Lucien,Executive Vice President,2022-02-28,Option Exercise,0,2302,0,Mar 02 01:51 PM
Woods Candace,Senior Vice President,2022-02-28,Option Exercise,0,675,0,Mar 02 02:28 PM
TANJI KENNETH,EVP and CFO,2022-02-28,Option Exercise,0,3684,0,Mar 02 02:23 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-28,Option Exercise,0,4503,0,Mar 02 02:18 PM
Sleyster Scott,Executive Vice President,2022-02-28,Option Exercise,0,4503,0,Mar 02 02:15 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-22,Sale,113.35,2951,334496,Feb 24 10:55 AM
Woods Candace,Senior Vice President,2022-02-17,Option Exercise,63.59,1262,80251,Feb 18 09:26 AM
Woods Candace,Senior Vice President,2022-02-17,Sale,116.74,1262,147326,Feb 18 09:26 AM
Lowrey Charles F,Chief Executive Officer,2022-02-11,Sale,119.9,28000,3357200,Feb 15 04:12 PM
Silitch Nicholas C,Senior Vice President,2022-02-10,Sale,122.97,10001,1229823,Feb 14 04:21 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-10,Sale,122.3,2497,305383,Feb 14 04:18 PM
Sleyster Scott,Executive Vice President,2022-02-09,Option Exercise,64.3,32642,2098976,Feb 11 05:28 PM
Sleyster Scott,Executive Vice President,2022-02-09,Sale,121.15,28951,3507398,Feb 11 05:28 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-08,Option Exercise,64.78,27419,1776238,Feb 10 07:07 PM
Woods Candace,Senior Vice President,2022-02-08,Option Exercise,0,3314,0,Feb 10 06:53 PM
Sleyster Scott,Executive Vice President,2022-02-08,Option Exercise,0,22884,0,Feb 10 06:48 PM
Silitch Nicholas C,Senior Vice President,2022-02-08,Option Exercise,0,16021,0,Feb 10 06:43 PM
SCHMIDT TIMOTHY L,Senior Vice President,2022-02-08,Option Exercise,0,8432,0,Feb 10 06:40 PM
Lowrey Charles F,Chief Executive Officer,2022-02-08,Option Exercise,0,49982,0,Feb 10 06:37 PM
KAPPLER ANN M,EVP and General Counsel,2022-02-08,Option Exercise,0,3314,0,Feb 10 06:33 PM
FALZON ROBERT,EVP and Vice Chairman,2022-02-08,Option Exercise,0,37760,0,Feb 10 06:25 PM
Axel Robert,SVP and Controller,2022-02-08,Option Exercise,0,4218,0,Feb 10 06:20 PM
Alziari Lucien,Executive Vice President,2022-02-08,Option Exercise,0,13552,0,Feb 10 06:17 PM
SULLIVAN ANDREW F,Executive Vice President,2022-02-08,Sale,121.47,18320,2225309,Feb 10 07:07 PM
SCHMIDT TIMOTHY L,Senior Vice President,2022-02-07,Option Exercise,56.22,14713,827208,Feb 09 09:46 AM
SCHMIDT TIMOTHY L,Senior Vice President,2022-02-07,Sale,120,14713,1765560,Feb 09 09:46 AM
SCOVANNER DOUGLAS A,Director,2022-01-12,Option Exercise,0,1312,0,Jan 13 02:38 PM
