Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Mitra Shankh,Director,2022-04-26,Option Exercise,275.12,1666,458350,Apr 27 02:47 PM
SPOGLI RONALD P,Director,2022-04-14,Option Exercise,144.97,5000,724850,Apr 15 05:41 PM
POLADIAN AVEDICK BARUYR,Director,2022-04-04,Option Exercise,144.97,5000,724850,Apr 05 06:00 PM
Owen Rebecca L,Director,2022-03-15,Option Exercise,217.37,5000,1086850,Mar 16 03:04 PM
Owen Rebecca L,Director,2022-03-15,Sale,358.25,5000,1791237,Mar 16 03:04 PM
Mitra Shankh,Director,2022-01-03,Option Exercise,230.93,5000,1154650,Jan 03 09:00 PM
STONE HEISZ LESLIE,Director,2021-12-15,Option Exercise,225.5,10000,2255000,Dec 17 11:41 AM
STONE HEISZ LESLIE,Director,2021-12-15,Sale,362.26,9045,3276642,Dec 17 11:41 AM
Vitan Nathaniel A.,"Sr. VP, Ch. Legal Off., Sec.",2021-12-06,Option Exercise,259.74,25000,6493500,Dec 07 11:52 AM
Vitan Nathaniel A.,"Sr. VP, Ch. Legal Off., Sec.",2021-12-06,Sale,339.18,25000,8479500,Dec 07 11:52 AM
REYES JOHN,Director,2021-08-23,Option Exercise,152.01,50000,7600500,Aug 24 03:17 PM
REYES JOHN,Director,2021-08-23,Sale,321.97,50000,16098500,Aug 24 03:17 PM
STONE HEISZ LESLIE,Director,2021-08-20,Option Exercise,193.71,5000,968550,Aug 23 01:41 PM
STONE HEISZ LESLIE,Director,2021-08-20,Sale,323.7,3957,1280881,Aug 23 01:41 PM
Vitan Nathaniel A.,Chief Legal Officer,2021-08-12,Sale,314.07,483,151696,Aug 12 08:17 PM
HUGHES B WAYNE JR,10% Owner,2021-07-07,Option Exercise,195.44,45000,8794700,Jul 09 10:42 AM
