Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
McCourt Marion,EVP Commercial,2022-08-01,Option Exercise,342.93,1100,377223,Aug 02 04:28 PM
McCourt Marion,EVP Commercial,2022-08-01,Sale,581.53,1100,639683,Aug 02 04:28 PM
McCourt Marion,EVP Commercial,2022-07-01,Option Exercise,342.93,1100,377223,Jul 05 04:03 PM
McCourt Marion,EVP Commercial,2022-07-01,Sale,587.76,1100,646536,Jul 05 04:03 PM
McCourt Marion,EVP Commercial,2022-06-01,Option Exercise,342.93,1100,377223,Jun 03 04:00 PM
McCourt Marion,EVP Commercial,2022-06-01,Sale,669.51,1100,736461,Jun 03 04:00 PM
MURPHY ANDREW J,EVP Research,2022-05-17,Sale,663.68,3543,2351411,May 18 04:05 PM
MURPHY ANDREW J,EVP Research,2022-05-16,Option Exercise,179.13,10000,1791300,May 18 04:05 PM
McCourt Marion,EVP Commercial,2022-05-02,Option Exercise,342.93,1100,377223,May 03 05:09 PM
McCourt Marion,EVP Commercial,2022-05-02,Sale,656.97,1100,722667,May 03 05:09 PM
RYAN ARTHUR F,Director,2022-05-02,Sale,650.78,100,65078,May 03 05:10 PM
Landry Robert E,EVP Finance CFO,2022-04-11,Sale,734.06,1862,1366821,Apr 11 06:01 PM
Fenimore Christopher R.,SVP Controller,2022-04-08,Option Exercise,364.23,7450,2713542,Apr 11 04:40 PM
Landry Robert E,EVP Finance CFO,2022-04-08,Option Exercise,386.36,8000,3090840,Apr 11 06:01 PM
Landry Robert E,EVP Finance CFO,2022-04-08,Sale,737.79,325,239780,Apr 11 06:01 PM
Bassler Bonnie L,Director,2022-04-07,Option Exercise,380.95,1240,472378,Apr 11 04:38 PM
Landry Robert E,EVP Finance CFO,2022-04-07,Option Exercise,399.66,1500,599490,Apr 11 06:01 PM
Bassler Bonnie L,Director,2022-04-07,Sale,725,1240,899000,Apr 11 04:38 PM
LAROSA JOSEPH J,EVP General Counsel and Secret,2022-04-07,Sale,721.1,5114,3687705,Apr 11 04:41 PM
SCHLEIFER LEONARD S,President & CEO,2022-04-06,Sale,710.04,2653,1883736,Apr 07 04:04 PM
SCHLEIFER LEONARD S,President & CEO,2022-04-05,Sale,710.05,4461,3167533,Apr 07 04:04 PM
McCourt Marion,EVP Commercial,2022-04-01,Option Exercise,342.93,1000,342930,Apr 04 04:05 PM
Landry Robert E,EVP Finance CFO,2022-04-01,Sale,695.81,316,219875,Apr 01 04:07 PM
RYAN ARTHUR F,Director,2022-04-01,Sale,692.81,100,69281,Apr 04 04:03 PM
McCourt Marion,EVP Commercial,2022-04-01,Sale,701.82,1000,701820,Apr 04 04:05 PM
LAROSA JOSEPH J,EVP General Counsel and Secret,2022-04-01,Sale,690.73,5114,3532373,Apr 04 04:04 PM
Landry Robert E,EVP Finance CFO,2022-03-31,Option Exercise,399.66,1500,599490,Apr 01 04:07 PM
Fenimore Christopher R.,SVP Controller,2022-03-31,Option Exercise,317.97,12000,3815640,Apr 01 04:07 PM
SCHLEIFER LEONARD S,President & CEO,2022-03-31,Sale,710.01,2886,2049089,Apr 04 04:03 PM
BROWN MICHAEL S,Director,2022-03-30,Option Exercise,374.12,408,152641,Mar 31 04:04 PM
GOLDSTEIN JOSEPH L,Director,2022-03-30,Option Exercise,374.12,2431,909486,Apr 01 04:08 PM
Bassler Bonnie L,Director,2022-03-30,Option Exercise,380.95,1240,472378,Apr 01 04:08 PM
Bassler Bonnie L,Director,2022-03-30,Sale,700,1240,868000,Apr 01 04:08 PM
VAGELOS P ROY,Director,2022-03-30,Sale,700.01,28572,20000686,Apr 01 04:08 PM
GOLDSTEIN JOSEPH L,Director,2022-03-30,Sale,700,2431,1701700,Apr 01 04:08 PM
BROWN MICHAEL S,Director,2022-03-30,Sale,699,408,285192,Mar 31 04:04 PM
BROWN MICHAEL S,Director,2022-03-29,Option Exercise,374.12,1522,569411,Mar 31 04:04 PM
BROWN MICHAEL S,Director,2022-03-29,Sale,699,1522,1063878,Mar 31 04:04 PM
Landry Robert E,EVP Finance CFO,2022-03-29,Sale,687.9,2683,1845630,Mar 30 04:42 PM
Landry Robert E,EVP Finance CFO,2022-03-28,Option Exercise,426.56,14500,6185095,Mar 30 04:42 PM
Tessier-Lavigne Marc,Director,2022-03-21,Option Exercise,380.95,7439,2833887,Mar 23 04:01 PM
Landry Robert E,EVP Finance CFO,2022-03-21,Option Exercise,381.92,400,152768,Mar 23 04:02 PM
Landry Robert E,EVP Finance CFO,2022-03-21,Sale,693,300,207900,Mar 23 04:02 PM
Tessier-Lavigne Marc,Director,2022-03-21,Sale,690,7439,5132910,Mar 23 04:01 PM
Tessier-Lavigne Marc,Director,2022-03-17,Option Exercise,376.69,7830,2949483,Mar 18 04:05 PM
Landry Robert E,EVP Finance CFO,2022-03-17,Option Exercise,381.92,365,139401,Mar 18 04:08 PM
Tessier-Lavigne Marc,Director,2022-03-17,Sale,680,7830,5324400,Mar 18 04:05 PM
Landry Robert E,EVP Finance CFO,2022-03-17,Sale,686,83,56938,Mar 18 04:08 PM
Tessier-Lavigne Marc,Director,2022-03-16,Option Exercise,374.12,4361,1631537,Mar 18 04:05 PM
Zoghbi Huda Y,Director,2022-03-16,Option Exercise,391.92,2000,783840,Mar 18 04:14 PM
Tessier-Lavigne Marc,Director,2022-03-16,Sale,675,4361,2943675,Mar 18 04:05 PM
Landry Robert E,EVP Finance CFO,2022-03-16,Sale,677,300,203100,Mar 18 04:08 PM
Zoghbi Huda Y,Director,2022-03-16,Sale,675,2000,1350000,Mar 18 04:14 PM
VAGELOS P ROY,Director,2022-03-14,Option Exercise,179.13,75000,13434750,Mar 15 04:01 PM
McCourt Marion,EVP Commercial,2022-03-01,Option Exercise,342.93,1000,342930,Mar 03 04:07 PM
McCourt Marion,EVP Commercial,2022-03-01,Sale,615.39,1000,615390,Mar 03 04:07 PM
RYAN ARTHUR F,Director,2022-03-01,Sale,618.37,100,61837,Mar 03 04:19 PM
SING GEORGE L,Director,2022-02-28,Sale,615.5,2000,1231000,Mar 01 04:03 PM
SING GEORGE L,Director,2022-02-25,Sale,621,2000,1242000,Mar 01 04:03 PM
BROWN MICHAEL S,Director,2022-02-23,Sale,608.68,500,304340,Feb 24 04:07 PM
Van Plew Daniel P,"EVP & General Mgr, Industrial",2022-02-23,Sale,613.99,6781,4163489,Feb 24 04:11 PM
Van Plew Daniel P,"EVP & General Mgr, Industrial",2022-02-22,Option Exercise,399.66,40000,15986400,Feb 24 04:11 PM
MURPHY ANDREW J,EVP Research,2022-02-15,Sale,629.34,3540,2227851,Feb 16 04:18 PM
MURPHY ANDREW J,EVP Research,2022-02-14,Option Exercise,179.13,10000,1791300,Feb 16 04:18 PM
McCourt Marion,EVP Commercial,2022-02-01,Option Exercise,342.93,1000,342930,Feb 02 04:14 PM
RYAN ARTHUR F,Director,2022-02-01,Sale,607.14,100,60714,Feb 02 04:16 PM
McCourt Marion,EVP Commercial,2022-02-01,Sale,607.46,1000,607460,Feb 02 04:14 PM
McCourt Marion,EVP Commercial,2022-01-03,Option Exercise,342.93,1000,342930,Jan 05 04:25 PM
RYAN ARTHUR F,Director,2022-01-03,Sale,624.95,100,62495,Jan 05 04:22 PM
McCourt Marion,EVP Commercial,2022-01-03,Sale,625,1000,625000,Jan 05 04:25 PM
YANCOPOULOS GEORGE,President and Chief Scientific,2021-12-22,Option Exercise,221.08,442267,97775813,Dec 23 04:29 PM
McCourt Marion,EVP Commercial,2021-12-13,Sale,653.12,344,224673,Dec 14 04:05 PM
Landry Robert E,EVP Finance CFO,2021-12-13,Sale,662.5,116,76850,Dec 14 04:03 PM
Landry Robert E,EVP Finance CFO,2021-12-10,Option Exercise,555.67,1500,833505,Dec 14 04:03 PM
MURPHY ANDREW J,EVP Research,2021-12-10,Sale,666.27,7122,4745202,Dec 10 06:42 PM
Landry Robert E,EVP Finance CFO,2021-12-10,Sale,666.42,781,520477,Dec 10 05:37 PM
Tessier-Lavigne Marc,Director,2021-12-09,Option Exercise,371.4,3784,1405378,Dec 10 05:41 PM
Landry Robert E,EVP Finance CFO,2021-12-09,Option Exercise,399.66,4250,1698555,Dec 10 05:37 PM
LAROSA JOSEPH J,EVP General Counsel and Secret,2021-12-09,Option Exercise,179.13,30000,5373900,Dec 10 05:30 PM
MURPHY ANDREW J,EVP Research,2021-12-09,Option Exercise,52.03,16500,858495,Dec 10 06:42 PM
Tessier-Lavigne Marc,Director,2021-12-09,Sale,665,3784,2516360,Dec 10 05:41 PM
STAHL NEIL,EVP Research and Development,2021-12-03,Option Exercise,179.13,72500,12986925,Dec 06 04:10 PM
McCourt Marion,EVP Commercial,2021-12-01,Option Exercise,342.93,1000,342930,Dec 02 04:04 PM
McCourt Marion,EVP Commercial,2021-12-01,Sale,639.13,1000,639130,Dec 02 04:04 PM
RYAN ARTHUR F,Director,2021-12-01,Sale,637.53,100,63753,Dec 02 04:07 PM
SING GEORGE L,Director,2021-11-22,Sale,657.5,2000,1315000,Nov 23 04:29 PM
SCHLEIFER LEONARD S,President & CEO,2021-11-19,Option Exercise,221.08,520313,115030120,Nov 19 05:50 PM
SING GEORGE L,Director,2021-11-19,Sale,655,1000,655000,Nov 23 04:29 PM
SING GEORGE L,Director,2021-11-18,Sale,650,4000,2600000,Nov 18 04:09 PM
Landry Robert E,EVP Finance CFO,2021-11-17,Sale,645.08,681,439299,Nov 18 04:23 PM
Landry Robert E,EVP Finance CFO,2021-11-16,Option Exercise,399.66,3750,1498725,Nov 18 04:23 PM
SING GEORGE L,Director,2021-11-16,Sale,650,750,487500,Nov 18 04:09 PM
SING GEORGE L,Director,2021-11-16,Sale,656.26,6000,3937580,Nov 18 04:09 PM
MURPHY ANDREW J,EVP Research,2021-11-16,Sale,647.17,7167,4638263,Nov 17 04:04 PM
Van Plew Daniel P,"EVP & General Mgr, Industrial",2021-11-16,Sale,656.86,6778,4452194,Nov 17 04:02 PM
Van Plew Daniel P,"EVP & General Mgr, Industrial",2021-11-15,Option Exercise,270.43,25000,6760750,Nov 17 04:02 PM
MURPHY ANDREW J,EVP Research,2021-11-15,Option Exercise,52.03,16579,862605,Nov 17 04:04 PM
McCourt Marion,EVP Commercial,2021-11-01,Option Exercise,342.93,1000,342930,Nov 03 04:09 PM
RYAN ARTHUR F,Director,2021-11-01,Sale,642.52,100,64252,Nov 03 04:11 PM
McCourt Marion,EVP Commercial,2021-11-01,Sale,640,1000,640000,Nov 03 04:09 PM
McCourt Marion,EVP Commercial,2021-10-01,Option Exercise,342.93,1000,342930,Oct 04 04:09 PM
RYAN ARTHUR F,Director,2021-10-01,Sale,569.49,100,56949,Oct 04 04:10 PM
McCourt Marion,EVP Commercial,2021-10-01,Sale,576.75,1000,576750,Oct 04 04:09 PM
COLES N ANTHONY,Director,2021-09-15,Option Exercise,365.99,11948,4372807,Sep 17 04:01 PM
