Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
SCHLUMBERGER LIMITED/NV,10% Owner,2022-06-08,Sale,17,12032500,204552500,Jun 10 05:02 PM
Rennick Gavin,President New Energy,2022-05-26,Sale,46.7,10759,502424,May 31 05:31 PM
Beumelburg Katharina,Chief Sustainability Officer,2022-05-19,Sale,40.28,4200,169197,May 23 05:11 PM
Beumelburg Katharina,Chief Sustainability Officer,2022-05-17,Option Exercise,0,8270,0,May 19 04:50 PM
Kasibhatla Vijay,"Director, M&A",2022-05-06,Sale,43.32,20000,866460,May 10 04:26 PM
SCHLUMBERGER LIMITED/NV,10% Owner,2022-05-03,Sale,15.5,14500000,224750000,May 05 09:30 AM
Chereque Pierre,"VP, Director of Tax",2022-04-21,Option Exercise,0,1336,0,Apr 21 09:09 PM
Gharbi Hinda,"EVP, Services & Equipment",2022-04-17,Option Exercise,0,36630,0,Apr 19 04:45 PM
Al Mogharbel Khaled,"EVP, Geographies",2022-04-17,Option Exercise,0,48840,0,Apr 19 04:44 PM
Jaramillo Claudia,"VP, Treasurer",2022-03-30,Sale,43,11628,500004,Mar 31 04:52 PM
Fyfe Kevin,VP Controller,2022-03-02,Sale,38.5,20708,797299,Mar 04 04:51 PM
Chereque Pierre,"VP, Director of Tax",2022-02-17,Sale,41.03,10000,410323,Feb 22 05:12 PM
Al Mogharbel Khaled,"EVP, Geographies",2022-02-15,Sale,39.64,29366,1164068,Feb 17 04:50 PM
Chereque Pierre,"VP, Director of Tax",2022-02-02,Sale,39.31,8249,324268,Feb 04 05:01 PM
Guild Howard,Chief Accounting Officer,2022-01-26,Sale,39.02,25500,995010,Jan 28 11:31 AM
Chereque Pierre,"VP, Director of Tax",2022-01-19,Option Exercise,0,400,0,Jan 21 08:17 PM
Gharbi Hinda,"EVP, Services & Equipment",2022-01-19,Option Exercise,0,1500,0,Jan 21 08:14 PM
Rennick Gavin,"VP, Human Resources",2022-01-16,Option Exercise,0,6720,0,Jan 19 08:39 PM
Pafitis Demosthenis,Chief Technology Officer,2022-01-16,Option Exercise,0,6720,0,Jan 19 08:34 PM
Ralston Dianne B.,Chief Legal Officer & Sec,2021-12-08,Sale,31.04,12885,399963,Dec 09 02:17 PM
Ralston Dianne B.,Chief Legal Officer & Sec,2021-12-01,Option Exercise,0,34603,0,Dec 03 12:52 PM
Le Peuch Olivier,Chief Executive Officer,2021-07-06,Buy,31.64,711,22496,Jan 21 08:39 PM
