Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
PINCHUK NICHOLAS T,"Chairman, President and CEO",2022-06-01,Option Exercise,79.04,30000,2371200,Jun 02 04:25 PM
PINCHUK NICHOLAS T,"Chairman, President and CEO",2022-06-01,Sale,216.58,19394,4200316,Jun 02 04:25 PM
PINCHUK NICHOLAS T,"Chairman, President and CEO",2021-12-17,Option Exercise,60,41500,2490000,Dec 20 05:01 PM
PINCHUK NICHOLAS T,"Chairman, President and CEO",2021-12-17,Sale,213.7,24880,5316775,Dec 20 05:01 PM
Pagliari Aldo John,Sr VP - Finance & CFO,2021-12-09,Option Exercise,60,10000,600000,Dec 09 05:05 PM
Pagliari Aldo John,Sr VP - Finance & CFO,2021-12-09,Sale,214,6191,1324871,Dec 09 05:05 PM
Daniel Karen L,Director,2021-12-09,Sale,213.56,2259,482440,Dec 09 05:03 PM
Pagliari Aldo John,Sr VP - Finance & CFO,2021-09-09,Option Exercise,60,8000,480000,Sep 10 04:45 PM
Pagliari Aldo John,Sr VP - Finance & CFO,2021-09-09,Sale,221.47,4912,1087876,Sep 10 04:45 PM
Daniel Karen L,Director,2021-09-09,Sale,222.3,3219,715584,Sep 10 04:43 PM
PINCHUK NICHOLAS T,"Chairman, President and CEO",2021-08-11,Option Exercise,60,41500,2490000,Aug 12 04:46 PM
PINCHUK NICHOLAS T,"Chairman, President and CEO",2021-08-11,Sale,227.29,24492,5566895,Aug 12 04:46 PM
