Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Ghazi Sassine,President and COO,2022-07-01,Option Exercise,50.71,4651,235841,Jul 05 04:36 PM
Ghazi Sassine,President and COO,2022-07-01,Sale,300.67,4651,1398401,Jul 05 04:36 PM
Pham Trac,CFO,2022-06-23,Sale,307.03,18393,5647275,Jun 24 02:58 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2022-06-07,Option Exercise,134.42,3463,465509,Jun 08 02:48 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2022-06-07,Sale,330,3463,1142790,Jun 08 02:48 PM
Pham Trac,CFO,2022-05-26,Option Exercise,126.25,49072,6195271,May 27 01:43 PM
Pham Trac,CFO,2022-05-26,Sale,305,49072,14966960,May 27 01:43 PM
Pham Trac,CFO,2022-05-25,Option Exercise,89.76,25000,2244000,May 27 01:43 PM
Pham Trac,CFO,2022-05-25,Sale,299.36,25000,7484000,May 27 01:43 PM
Logan Joseph W,Chief Revenue Officer,2022-05-20,Option Exercise,90.51,53706,4860930,May 23 12:56 PM
Logan Joseph W,Chief Revenue Officer,2022-05-20,Sale,299.12,53706,16064549,May 23 12:56 PM
Logan Joseph W,Chief Revenue Officer,2022-02-18,Option Exercise,60.37,86973,5250560,Feb 23 01:09 PM
CHAN CHI-FOON,Co-CEO,2022-02-18,Sale,289.25,12570,3635920,Feb 23 01:09 PM
Logan Joseph W,Chief Revenue Officer,2022-02-18,Sale,289.4,86973,25169960,Feb 23 01:09 PM
Ghazi Sassine,President and COO,2021-12-23,Option Exercise,49.35,8948,441584,Dec 23 06:43 PM
Ghazi Sassine,President and COO,2021-12-23,Sale,364.24,8948,3259254,Dec 23 06:43 PM
Pham Trac,CFO,2021-12-22,Option Exercise,90.51,34488,3121509,Dec 23 01:37 PM
Pham Trac,CFO,2021-12-22,Sale,364.22,34488,12561209,Dec 23 01:37 PM
JOHNSON MERCEDES,Director,2021-12-17,Option Exercise,65.84,7500,493800,Dec 20 04:53 PM
JOHNSON MERCEDES,Director,2021-12-17,Sale,351.29,7500,2634675,Dec 20 04:53 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2021-12-15,Option Exercise,151.53,6516,987350,Dec 16 06:35 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2021-12-15,Sale,350,6516,2280600,Dec 16 06:35 PM
DE GEUS AART,Chairman of the Board & Co-CEO,2021-12-13,Option Exercise,60.37,64622,3901230,Dec 14 01:56 PM
DE GEUS AART,Chairman of the Board & Co-CEO,2021-12-13,Sale,362.55,64622,23428525,Dec 14 01:56 PM
DE GEUS AART,Chairman of the Board & Co-CEO,2021-12-10,Option Exercise,60.37,96277,5812242,Dec 14 01:56 PM
DE GEUS AART,Chairman of the Board & Co-CEO,2021-12-10,Sale,358.55,66059,23685758,Dec 14 01:56 PM
DE GEUS AART,Chairman of the Board & Co-CEO,2021-12-10,Sale,359.55,96277,34616549,Dec 14 01:56 PM
Ghazi Sassine,President and COO,2021-12-09,Option Exercise,0,2670,0,Dec 13 04:38 PM
Pham Trac,CFO,2021-12-09,Option Exercise,0,1869,0,Dec 13 04:36 PM
DE GEUS AART,Chairman of the Board & Co-CEO,2021-12-09,Option Exercise,0,3737,0,Dec 13 04:36 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2021-12-09,Option Exercise,0,1175,0,Dec 13 04:37 PM
Logan Joseph W,Chief Revenue Officer,2021-12-09,Option Exercise,0,1869,0,Dec 13 04:37 PM
CHAN CHI-FOON,Co-CEO,2021-12-09,Option Exercise,0,3737,0,Dec 13 04:36 PM
Ghazi Sassine,President and COO,2021-12-08,Option Exercise,0,7426,0,Dec 10 01:49 PM
CHAN CHI-FOON,Co-CEO,2021-12-08,Option Exercise,0,18512,0,Dec 10 01:49 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2021-12-08,Option Exercise,0,4371,0,Dec 10 01:48 PM
Pham Trac,CFO,2021-12-08,Option Exercise,0,9660,0,Dec 10 01:48 PM
Logan Joseph W,Chief Revenue Officer,2021-12-08,Option Exercise,0,8782,0,Dec 10 01:49 PM
Kankanwadi Sudhindra,Chief Operating Officer,2021-12-08,Option Exercise,0,3408,0,Dec 10 01:49 PM
DE GEUS AART,Chairman of the Board & Co-CEO,2021-12-08,Option Exercise,0,18512,0,Dec 10 01:48 PM
Logan Joseph W,Chief Revenue Officer,2021-12-03,Option Exercise,45.23,6053,273777,Dec 07 02:40 PM
CHAN CHI-FOON,Co-CEO,2021-12-03,Sale,343.13,12318,4226689,Dec 07 02:40 PM
Logan Joseph W,Chief Revenue Officer,2021-12-03,Sale,348.12,6053,2107178,Dec 07 02:40 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2021-09-15,Option Exercise,107.1,4238,453911,Sep 17 01:12 PM
Kankanwadi Sudhindra,"Senior VP, Finance & CAO",2021-09-15,Option Exercise,0,470,0,Sep 17 01:12 PM
Ghazi Sassine,Chief Operating Officer,2021-09-15,Option Exercise,0,882,0,Sep 17 01:11 PM
RUNKEL JOHN F JR,GC & Corporate Secretary,2021-09-15,Sale,333,4238,1411254,Sep 17 01:12 PM
VALLEE ROY,Director,2021-08-30,Sale,334,10000,3339964,Sep 01 12:31 PM
Kankanwadi Sudhindra,"Senior VP, Finance & CAO",2021-08-24,Option Exercise,60.37,3000,181110,Aug 25 04:46 PM
Kankanwadi Sudhindra,"Senior VP, Finance & CAO",2021-08-24,Sale,322.87,3000,968610,Aug 25 04:46 PM
CHAN CHI-FOON,Co-CEO & President,2021-08-23,Option Exercise,90.51,310,28058,Aug 24 03:20 PM
Kankanwadi Sudhindra,"Senior VP, Finance & CAO",2021-08-23,Option Exercise,56.61,3325,188240,Aug 25 04:46 PM
Pham Trac,CFO,2021-08-23,Option Exercise,90.51,23246,2103995,Aug 24 03:19 PM
Pham Trac,CFO,2021-08-23,Sale,320.15,14883,4764825,Aug 24 03:19 PM
Kankanwadi Sudhindra,"Senior VP, Finance & CAO",2021-08-23,Sale,320.57,3325,1065912,Aug 25 04:46 PM
CHAN CHI-FOON,Co-CEO & President,2021-08-23,Sale,316.43,310,98093,Aug 24 03:20 PM
CHAN CHI-FOON,Co-CEO & President,2021-08-20,Option Exercise,72.3,266323,19255399,Aug 24 03:20 PM
Logan Joseph W,Chief Revenue Officer,2021-08-20,Option Exercise,45.23,6053,273777,Aug 23 04:15 PM
Pham Trac,CFO,2021-08-20,Option Exercise,67.82,26754,1814519,Aug 24 03:19 PM
Pham Trac,CFO,2021-08-20,Sale,317.09,16186,5132487,Aug 24 03:19 PM
Logan Joseph W,Chief Revenue Officer,2021-08-20,Sale,313.88,6053,1899897,Aug 23 04:15 PM
CHAN CHI-FOON,Co-CEO & President,2021-08-20,Sale,314.98,278642,87766574,Aug 24 03:20 PM
