Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Zangerle John Adam,"Sr. VP, Gen Counsel, and Sec.",2022-06-15,Sale,205.31,2659,545919,Jun 17 04:35 PM
Breeden Richard C,Director,2022-06-02,Option Exercise,32.36,3218,104134,Jun 06 04:35 PM
Zangerle John Adam,"Sr. VP, Gen Counsel, and Sec.",2022-04-20,Option Exercise,67.98,8000,543840,Apr 21 04:30 PM
Zangerle John Adam,"Sr. VP, Gen Counsel, and Sec.",2022-04-20,Sale,255.48,8000,2043876,Apr 21 04:30 PM
TOKICH MICHAEL J,"Sr. Vice Pres., CFO",2022-04-07,Sale,250,8000,2000000,Apr 08 05:00 PM
Burton Karen L,"VP, Controller & CAO",2022-03-29,Option Exercise,77.07,4000,308280,Mar 31 06:07 PM
Burton Karen L,"VP, Controller & CAO",2022-03-29,Sale,246,4000,984000,Mar 31 06:07 PM
Burton Karen L,"VP, Controller & CAO",2022-02-15,Option Exercise,69.72,2600,181272,Feb 17 05:01 PM
Burton Karen L,"VP, Controller & CAO",2022-02-15,Sale,232.61,2600,604786,Feb 17 05:01 PM
FELDMANN CYNTHIA L,Director,2022-02-10,Option Exercise,71.4,1891,135017,Feb 14 05:02 PM
KOSECOFF JACQUELINE B,Director,2022-02-10,Option Exercise,32.36,3218,104134,Feb 14 06:38 PM
KOSECOFF JACQUELINE B,Director,2022-02-10,Sale,235.2,3218,756874,Feb 14 06:38 PM
FELDMANN CYNTHIA L,Director,2022-02-10,Sale,234.1,1891,442683,Feb 14 05:02 PM
TOKICH MICHAEL J,"Sr. Vice Pres., CFO",2021-12-23,Option Exercise,69.72,30000,2091600,Dec 27 04:32 PM
TOKICH MICHAEL J,"Sr. Vice Pres., CFO",2021-12-23,Sale,240,30000,7200000,Dec 27 04:32 PM
Xilas Andrew,"SVP and GM, Dental",2021-12-02,Option Exercise,0,333,0,Apr 28 05:01 PM
Majors Cary L,Sr VP N America Com Operations,2021-11-15,Sale,232.97,1950,454292,Nov 17 04:33 PM
TOKICH MICHAEL J,"Sr. Vice Pres., CFO",2021-10-22,Option Exercise,67.98,20000,1359600,Oct 25 04:32 PM
TOKICH MICHAEL J,"Sr. Vice Pres., CFO",2021-10-22,Sale,235,20000,4700000,Oct 25 04:32 PM
Xilas Andrew,"SVP and GM, Dental",2021-10-11,Option Exercise,0,506,0,Oct 13 04:31 PM
Xilas Andrew,"SVP and GM, Dental",2021-10-07,Option Exercise,0,607,0,Oct 12 04:31 PM
Tamaro Renato,V.P. & Corporate Treasurer,2021-08-26,Option Exercise,101.95,1449,147729,Aug 27 04:33 PM
Tamaro Renato,V.P. & Corporate Treasurer,2021-08-26,Sale,213.63,1449,309550,Aug 27 04:33 PM
Majors Cary L,Sr VP N America Com Operations,2021-08-13,Sale,218.45,11000,2402926,Aug 17 04:34 PM
