Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
O HANLEY RONALD P,Chairman and CEO,2022-05-15,Option Exercise,0,10128,0,May 17 04:49 PM
O HANLEY RONALD P,"Chairman, President and CEO",2022-02-15,Option Exercise,0,2581,0,Feb 17 05:35 PM
Erickson Andrew,Executive Vice President,2022-01-24,Sale,89,16000,1424000,Jan 25 04:09 PM
Taraporevala Cyrus,EVP; President and CEO of SSGA,2021-12-09,Sale,92.12,4487,413342,Dec 13 04:10 PM
RICHARDS MICHAEL L,EVP and Chief Admin Officer,2021-11-16,Sale,99.58,262,26090,Nov 17 04:13 PM
O HANLEY RONALD P,"Chairman, President and CEO",2021-11-15,Option Exercise,0,7743,0,Nov 17 04:19 PM
Aristeguieta Francisco,EVP and CEO of Inst. Services,2021-11-15,Sale,99.45,22200,2207790,Nov 17 04:12 PM
de Saint-Aignan Patrick,Director,2021-11-12,Sale,99.12,1000,99120,Nov 16 04:13 PM
de Saint-Aignan Patrick,Director,2021-11-10,Sale,97.1,5000,485480,Nov 12 04:03 PM
Taraporevala Cyrus,EVP; President and CEO of SSGA,2021-11-09,Sale,95.74,4487,429585,Nov 10 04:16 PM
Taraporevala Cyrus,EVP; President and CEO of SSGA,2021-10-08,Sale,89.23,4487,400375,Oct 12 04:31 PM
Taraporevala Cyrus,EVP; President and CEO of SSGA,2021-09-09,Sale,87,4487,390369,Sep 10 04:22 PM
RICHARDS MICHAEL L,EVP and Chief Admin Officer,2021-08-16,Sale,89.96,330,29687,Aug 17 04:08 PM
O HANLEY RONALD P,"Chairman, President and CEO",2021-08-15,Option Exercise,0,7744,0,Aug 17 04:07 PM
Taraporevala Cyrus,EVP; President and CEO of SSGA,2021-08-09,Sale,89.4,4487,401138,Aug 11 04:03 PM
Taraporevala Cyrus,EVP; President and CEO of SSGA,2021-07-26,Sale,85.02,4488,381570,Jul 28 04:14 PM
