Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
TERRY ROBERT JOHN,"SVP, Gen. Counsel & Secretary",2022-06-30,Option Exercise,75.91,502,38107,Jun 30 06:30 PM
GRIFFIN LIAM,"Chairman, CEO and President",2022-03-29,Sale,140,10000,1400000,Mar 31 06:30 PM
GRIFFIN LIAM,"Chairman, CEO and President",2022-02-16,Sale,140,10000,1400000,Feb 18 06:30 PM
GRIFFIN LIAM,"Chairman, CEO and President",2022-02-02,Sale,146.91,10000,1469120,Feb 04 06:30 PM
GRIFFIN LIAM,"Chairman, CEO and President",2022-01-19,Sale,151.3,10000,1513041,Jan 21 06:30 PM
TERRY ROBERT JOHN,"SVP, Gen. Counsel & Secretary",2022-01-10,Sale,152.35,1500,228525,Jan 12 06:30 PM
GRIFFIN LIAM,"Chairman, CEO and President",2022-01-05,Sale,161.27,10000,1612653,Jan 07 06:30 PM
GRIFFIN LIAM,"Chairman, CEO and President",2021-12-22,Sale,151.54,10000,1515371,Dec 23 06:27 PM
GRIFFIN LIAM,"Chairman, CEO and President",2021-12-08,Sale,157.01,10000,1570067,Dec 10 06:31 PM
GRIFFIN LIAM,"Chairman, CEO and President",2021-11-24,Sale,153.32,10000,1533207,Nov 24 06:27 PM
BORI CARLOS S,"SVP, Sales & Marketing",2021-11-18,Sale,165.6,10847,1796263,Nov 19 06:30 PM
Durham Karilee A,"SVP, Human Resources",2021-11-16,Sale,163.12,6246,1018861,Nov 18 06:28 PM
TERRY ROBERT JOHN,"SVP, Gen. Counsel & Secretary",2021-11-12,Sale,162.27,2998,486485,Nov 12 06:03 PM
GRIFFIN LIAM,"Chairman, CEO and President",2021-11-10,Sale,163.06,10000,1630638,Nov 12 06:01 PM
TERRY ROBERT JOHN,"SVP, Gen. Counsel & Secretary",2021-11-09,Sale,167.51,4023,673875,Nov 09 07:08 PM
TERRY ROBERT JOHN,"SVP, Gen. Counsel & Secretary",2021-11-08,Sale,164.19,8374,1374960,Nov 09 07:08 PM
BORI CARLOS S,"SVP, Sales & Marketing",2021-09-01,Option Exercise,77.66,9247,718122,Sep 03 06:31 PM
BORI CARLOS S,"SVP, Sales & Marketing",2021-09-01,Sale,184.07,9247,1702095,Sep 03 06:31 PM
BORI CARLOS S,"SVP, Sales & Marketing",2021-08-18,Sale,177.75,10696,1901225,Aug 20 06:36 PM
Durham Karilee A,"SVP, Human Resources",2021-08-16,Sale,181.72,4000,726880,Aug 18 06:30 PM
GRIFFIN LIAM,"Chairman, CEO and President",2021-08-10,Sale,186.02,10000,1860232,Aug 12 06:36 PM
FUREY TIMOTHY R,Director,2021-08-06,Sale,186.05,2000,372100,Aug 09 06:31 PM
BORI CARLOS S,"SVP, Sales & Marketing",2021-08-04,Option Exercise,79.53,6691,532119,Aug 06 06:54 PM
TERRY ROBERT JOHN,"SVP, Gen. Counsel & Secretary",2021-08-04,Sale,186.69,3033,566231,Aug 06 06:39 PM
BORI CARLOS S,"SVP, Sales & Marketing",2021-08-04,Sale,186.65,12591,2350169,Aug 06 06:54 PM
