Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Howley W Nicholas,Director,2022-07-15,Option Exercise,130.09,11500,1496035,Jul 18 10:05 AM
Howley W Nicholas,Director,2022-07-15,Sale,540.7,11500,6218053,Jul 18 10:05 AM
Howley W Nicholas,Director,2022-06-15,Option Exercise,130.09,11500,1496035,Jun 16 11:10 AM
Howley W Nicholas,Director,2022-06-15,Sale,539.63,11500,6205769,Jun 16 11:10 AM
SMALL ROBERT J,Director,2022-05-23,Buy,565,28453,16075814,May 23 08:42 PM
SMALL ROBERT J,Director,2022-05-19,Buy,544.09,19398,10554249,May 23 08:32 PM
Howley W Nicholas,Director,2022-05-16,Option Exercise,130.09,11500,1496035,May 17 04:14 PM
Howley W Nicholas,Director,2022-05-16,Sale,556.61,11500,6401027,May 17 04:14 PM
Howley W Nicholas,Director,2022-04-18,Option Exercise,130.09,11500,1496035,Apr 20 11:22 AM
Howley W Nicholas,Director,2022-04-18,Sale,631.75,11500,7265145,Apr 20 11:22 AM
Laubenthal Raymond F,Director,2022-03-22,Sale,670,5000,3350000,Mar 23 11:03 AM
Howley W Nicholas,Director,2022-03-15,Option Exercise,130.09,11500,1496035,Mar 16 06:38 PM
Howley W Nicholas,Director,2022-03-15,Sale,632.64,11500,7275390,Mar 16 06:38 PM
Howley W Nicholas,Director,2022-02-15,Option Exercise,130.09,11500,1496035,Feb 16 05:30 PM
Howley W Nicholas,Director,2022-02-15,Sale,646.42,11500,7433798,Feb 16 05:30 PM
Howley W Nicholas,Director,2022-01-18,Option Exercise,130.09,11500,1496035,Jan 19 04:19 PM
Howley W Nicholas,Director,2022-01-18,Sale,630.77,11500,7253834,Jan 19 04:19 PM
Howley W Nicholas,Director,2021-12-15,Option Exercise,130.09,11500,1496035,Dec 17 10:11 AM
Howley W Nicholas,Director,2021-12-15,Sale,571.72,11500,6574767,Dec 17 10:11 AM
Staer John,Director,2021-12-02,Buy,578.32,13,7518,Dec 02 03:31 PM
CRONIN JANE M.,Director,2021-11-19,Buy,634.27,300,190281,Nov 19 12:43 PM
Stein Kevin M,President & CEO,2021-11-18,Option Exercise,191.79,40000,7671600,Nov 22 09:55 AM
Stein Kevin M,President & CEO,2021-11-18,Sale,661.47,40000,26458676,Nov 22 09:55 AM
Howley W Nicholas,Director,2021-11-15,Option Exercise,130.09,11500,1496035,Nov 17 03:02 PM
Howley W Nicholas,Director,2021-11-15,Sale,649.14,11500,7465144,Nov 17 03:02 PM
Henderson Robert S,Exec.V.P.,2021-11-01,Option Exercise,191.79,10000,1917900,Nov 02 02:08 PM
Henderson Robert S,Exec.V.P.,2021-11-01,Sale,627.17,10000,6271666,Nov 02 02:08 PM
Howley W Nicholas,Director,2021-10-15,Option Exercise,130.09,11500,1496035,Oct 18 04:28 PM
Howley W Nicholas,Director,2021-10-15,Sale,641.27,11500,7374589,Oct 18 04:28 PM
Howley W Nicholas,Director,2021-09-15,Option Exercise,130.09,11500,1496035,Sep 17 10:13 AM
Howley W Nicholas,Director,2021-09-15,Sale,608.24,11500,6994743,Sep 17 10:13 AM
Lisman Michael,Chief Financial Officer,2021-09-07,Buy,591.19,850,502515,Sep 09 10:15 AM
Howley W Nicholas,Director,2021-08-16,Option Exercise,130.09,11500,1496035,Aug 16 02:26 PM
Howley W Nicholas,Director,2021-08-16,Sale,601.55,11500,6917794,Aug 16 02:26 PM
Henderson Robert S,Exec.V.P.,2021-08-02,Option Exercise,191.79,10000,1917900,Aug 03 12:20 PM
Henderson Robert S,Exec.V.P.,2021-08-02,Sale,643.99,10000,6439928,Aug 03 12:20 PM
Howley W Nicholas,Exec. Chairman of the Board,2021-07-15,Option Exercise,130.09,11500,1496035,Jul 16 01:57 PM
Howley W Nicholas,Exec. Chairman of the Board,2021-07-15,Sale,639.34,11500,7352411,Jul 16 01:57 PM
Henderson Robert S,Exec.V.P.,2021-07-01,Option Exercise,191.79,10000,1917900,Jul 02 01:22 PM
Henderson Robert S,Exec.V.P.,2021-07-01,Sale,654.67,10000,6546653,Jul 02 01:22 PM
