Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Crevoiserat Joanne C.,Chief Executive Officer,2022-03-11,Buy,34.6,5700,197220,Mar 14 05:29 PM
Dunn Sarah,Global Human Resources Officer,2022-02-17,Sale,40.76,35000,1426600,Feb 18 04:25 PM
Dunn Sarah,Global Human Resources Officer,2022-02-16,Option Exercise,19.17,35964,689288,Feb 18 04:25 PM
Dunn Sarah,Global Human Resources Officer,2022-02-16,Sale,40.98,12622,517250,Feb 18 04:25 PM
Kahn Todd,"CEO and Brand President, Coach",2021-11-19,Option Exercise,15.83,30292,479522,Nov 22 05:58 PM
Kahn Todd,"CEO and Brand President, Coach",2021-11-19,Sale,46.5,19963,928280,Nov 22 05:58 PM
Dadlani Manesh,"VP, Controller and PAO",2021-11-18,Option Exercise,20.97,4003,83943,Nov 19 04:19 PM
Dadlani Manesh,"VP, Controller and PAO",2021-11-18,Sale,45.81,2168,99316,Nov 19 04:19 PM
Kahn Todd,"CEO and Brand President, Coach",2021-11-18,Sale,46,10523,484058,Nov 19 04:19 PM
Howard David E,General Counsel & Secretary,2021-08-26,Sale,42.27,17061,721168,Aug 27 05:31 PM
Dadlani Manesh,"VP, Controller and PAO",2021-08-23,Option Exercise,18.84,5130,96628,Aug 25 04:34 PM
Dadlani Manesh,"VP, Controller and PAO",2021-08-23,Sale,42.36,1211,51304,Aug 25 04:34 PM
