Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
KIRKLAND JAMES A,Senior Vice President,2022-05-23,Sale,66.92,5612,375583,May 25 03:41 PM
Sweet Thomas W,Director,2022-05-20,Buy,64.25,600,38550,May 23 04:23 PM
PAINTER ROBERT G,President & CEO,2022-05-16,Option Exercise,0,40422,0,May 18 05:51 PM
Langley James Joel,Sr. Vice President,2022-05-16,Option Exercise,0,7857,0,May 18 05:45 PM
Large Peter,Senior Vice President,2022-05-16,Option Exercise,0,1726,0,May 18 05:40 PM
KOTZABASAKIS MANOLIS E,Senior Vice President,2022-05-16,Option Exercise,0,13884,0,May 18 05:33 PM
KIRKLAND JAMES A,Senior Vice President,2022-05-16,Option Exercise,0,7631,0,May 18 05:28 PM
Bisio Ronald,Sr. Vice President,2022-05-16,Option Exercise,0,7857,0,May 18 05:22 PM
Shepard Julie A,Vice President Finance,2022-05-16,Option Exercise,0,2945,0,May 18 05:11 PM
Barnes David G,CFO,2022-05-16,Option Exercise,0,15126,0,May 18 05:02 PM
MATTHEWS DARRYL R,SVP & Sector Head,2022-05-16,Option Exercise,0,7857,0,May 18 04:55 PM
PEEK MARK S,Director,2022-05-12,Option Exercise,0,3436,0,May 16 04:38 PM
MacQuillan Sandra,Director,2022-05-12,Option Exercise,0,3436,0,May 16 04:16 PM
Sweet Thomas W,Director,2022-05-12,Option Exercise,0,1382,0,May 16 04:59 PM
Dalton James Calvin,Director,2022-05-12,Option Exercise,0,3436,0,May 16 03:55 PM
Gabriel Kaigham,Director,2022-05-12,Option Exercise,0,3436,0,May 16 04:09 PM
Fandozzi Ann,Director,2022-05-12,Option Exercise,0,2682,0,May 16 03:59 PM
Lloyd Meaghan,Director,2022-05-12,Option Exercise,0,3436,0,May 16 03:51 PM
Sweet Thomas W,Director,2022-05-12,Buy,61.97,200,12394,May 16 04:59 PM
Sweet Thomas W,Director,2022-05-09,Buy,62.28,1500,93425,May 16 05:50 PM
Langley James Joel,Sr. Vice President,2022-04-18,Option Exercise,67.47,1852,124954,Apr 20 01:19 PM
PAINTER ROBERT G,President & CEO,2022-04-01,Sale,72.63,1700,123471,Apr 05 04:40 PM
KOTZABASAKIS MANOLIS E,Senior Vice President,2022-03-15,Option Exercise,66.22,3867,256073,Mar 17 04:14 PM
KIRKLAND JAMES A,Senior Vice President,2022-03-15,Option Exercise,66.22,2509,166146,Mar 17 04:06 PM
Langley James Joel,Sr. Vice President,2022-03-15,Option Exercise,66.22,3171,209984,Mar 17 04:07 PM
Barnes David G,CFO,2022-03-15,Option Exercise,66.22,3867,256073,Mar 17 04:10 PM
MATTHEWS DARRYL R,SVP & Sector Head,2022-03-15,Option Exercise,66.22,3397,224949,Mar 17 04:03 PM
Bisio Ronald,Sr. Vice President,2022-03-15,Option Exercise,66.22,2900,192038,Mar 17 03:58 PM
Shepard Julie A,Vice President Finance,2022-03-15,Option Exercise,66.22,1497,99131,Mar 17 03:56 PM
PAINTER ROBERT G,President & CEO,2022-03-15,Option Exercise,66.22,10273,680278,Mar 17 06:46 PM
Bisio Ronald,Sr. Vice President,2022-03-11,Option Exercise,25.29,2660,67271,Mar 15 03:26 PM
Bisio Ronald,Sr. Vice President,2022-03-11,Sale,65.98,2660,175507,Mar 15 03:26 PM
KOTZABASAKIS MANOLIS E,Senior Vice President,2022-02-21,Option Exercise,0,9341,0,Feb 23 04:10 PM
BERGLUND STEVEN W,Executive Chairman,2022-02-15,Option Exercise,0,15066,0,Feb 16 06:24 PM
MacQuillan Sandra,Director,2022-02-14,Sale,66.44,10500,697620,Feb 15 05:33 PM
BERGLUND STEVEN W,Director,2022-01-18,Option Exercise,75.92,25439,1931329,Jan 20 04:37 PM
PAINTER ROBERT G,President & CEO,2022-01-18,Option Exercise,75.92,7408,562415,Jan 20 04:33 PM
Large Peter,Senior Vice President,2021-12-15,Option Exercise,87.18,1353,117955,Dec 17 04:51 PM
KIRKLAND JAMES A,Senior Vice President,2021-12-08,Sale,88.47,6899,610355,Dec 10 04:07 PM
FOSBURGH BRYN,Vice President,2021-11-24,Sale,84.54,2807,237293,Nov 29 04:16 PM
Langley James Joel,Sr. Vice President,2021-11-18,Sale,87,6000,522000,Nov 22 06:05 PM
Bisio Ronald,Sr. Vice President,2021-11-15,Option Exercise,87.31,8515,743445,Nov 17 04:41 PM
BERGLUND STEVEN W,Director,2021-11-15,Option Exercise,0,34310,0,Nov 17 06:14 PM
KIRKLAND JAMES A,Senior Vice President,2021-11-15,Option Exercise,0,8147,0,Nov 17 05:38 PM
PAINTER ROBERT G,President & CEO,2021-11-15,Option Exercise,0,6747,0,Nov 17 05:31 PM
MATTHEWS DARRYL R,SVP & Sector Head,2021-11-15,Option Exercise,0,9279,0,Nov 17 05:29 PM
FOSBURGH BRYN,Vice President,2021-11-15,Option Exercise,87.31,4804,419437,Nov 17 05:22 PM
Shepard Julie A,Vice President Finance,2021-11-15,Option Exercise,0,3229,0,Nov 17 05:20 PM
Langley James Joel,Sr. Vice President,2021-11-15,Option Exercise,0,8950,0,Nov 17 04:43 PM
Dalton James Calvin,Director,2021-11-15,Sale,87.47,3778,330462,Nov 17 04:42 PM
FOSBURGH BRYN,Vice President,2021-09-09,Sale,93.65,3260,305299,Sep 13 05:01 PM
BERGLUND STEVEN W,Director,2021-09-09,Sale,93.65,106650,9987772,Sep 13 05:00 PM
BERGLUND STEVEN W,Director,2021-09-09,Sale,93.65,54500,5103925,Sep 13 05:00 PM
FOSBURGH BRYN,Vice President,2021-09-08,Sale,93.85,25240,2368651,Sep 10 05:01 PM
BERGLUND STEVEN W,Director,2021-09-07,Sale,94.76,50000,4737950,Sep 09 04:56 PM
Bisio Ronald,Sr. Vice President,2021-08-23,Sale,92.28,3500,322987,Aug 25 05:00 PM
Lloyd Meaghan,Director,2021-08-20,Sale,89,6050,538450,Aug 24 05:21 PM
KIRKLAND JAMES A,Senior Vice President,2021-08-18,Option Exercise,27.48,25000,687000,Aug 20 05:01 PM
KIRKLAND JAMES A,Senior Vice President,2021-08-18,Sale,89.1,25227,2247728,Aug 20 05:01 PM
BERGLUND STEVEN W,Director,2021-08-17,Sale,88.4,60000,5304119,Aug 19 05:04 PM
FOSBURGH BRYN,Vice President,2021-08-13,Sale,88.69,13046,1157046,Aug 16 05:04 PM
FOSBURGH BRYN,Vice President,2021-08-12,Sale,88.6,56200,4979522,Aug 16 05:04 PM
Shepard Julie A,Vice President Finance,2021-08-06,Option Exercise,27.48,3854,105908,Aug 10 05:11 PM
Shepard Julie A,Vice President Finance,2021-08-06,Sale,89.2,2113,188482,Aug 10 05:11 PM
PAINTER ROBERT G,President & CEO,2021-08-05,Option Exercise,19.62,47660,934871,Aug 09 05:47 PM
MATTHEWS DARRYL R,SVP & Sector Head,2021-08-05,Sale,88.86,15000,1332962,Aug 09 05:47 PM
PAINTER ROBERT G,President & CEO,2021-08-05,Sale,87.61,47660,4175407,Aug 09 05:47 PM
