Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
JAMISON CYNTHIA T,Director,2022-05-18,Sale,207.62,7150,1484483,May 20 04:10 PM
JAMISON CYNTHIA T,Director,2022-05-12,Sale,195.1,5200,1014522,May 13 04:07 PM
Lawton III Harry A,President & CEO,2022-02-10,Sale,222.35,20049,4457955,Feb 11 04:25 PM
Yankee Colin,EVP Supply Chain,2022-02-08,Sale,217.94,1213,264361,Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-07,Option Exercise,90.51,6214,562413,Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-07,Sale,217.64,6659,1449265,Feb 08 07:26 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Option Exercise,143.18,2323,332607,Feb 07 06:09 PM
Yankee Colin,EVP Supply Chain,2022-02-03,Sale,219.42,2323,509713,Feb 07 06:09 PM
Barton Kurt D,EVP Chief Financial Officer,2021-11-16,Sale,225,4822,1084950,Nov 18 06:36 PM
Mills Robert D,EVP Chief Technology Officer,2021-10-29,Option Exercise,79.14,10532,833505,Nov 02 06:12 PM
Mills Robert D,EVP Chief Technology Officer,2021-10-29,Sale,215,11844,2546460,Nov 02 06:12 PM
Kersey Melissa,EVP Chief HR Officer,2021-10-26,Sale,210.01,850,178508,Oct 28 08:04 PM
Barton Kurt D,EVP Chief Financial Officer,2021-09-13,Sale,205.37,3527,724340,Sep 15 06:30 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Option Exercise,69.16,17258,1193480,Sep 14 07:34 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Sale,205,1069,219145,Sep 14 07:34 PM
Ordus John P,EVP Chief Stores Officer,2021-09-10,Sale,205,19429,3982945,Sep 14 07:34 PM
Estep Jonathan S,EVP - CMO,2021-08-20,Sale,198,1514,299772,Aug 24 05:24 PM
Estep Jonathan S,EVP - CMO,2021-08-20,Sale,198,3786,749628,Aug 24 05:24 PM
