Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-07-27,Option Exercise,62.72,3500,219520,Jul 29 08:34 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-07-27,Sale,791.5,3500,2770250,Jul 29 08:34 PM
Musk Kimbal,Director,2022-07-25,Option Exercise,74.17,25000,1854250,Jul 27 08:31 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-06-27,Option Exercise,62.72,3500,219520,Jun 29 07:05 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-06-27,Sale,748.11,3500,2618385,Jun 29 07:05 PM
Taneja Vaibhav,Chief Accounting Officer,2022-06-10,Option Exercise,55.32,2500,138300,Jun 14 08:19 PM
Taneja Vaibhav,Chief Accounting Officer,2022-06-06,Sale,718.31,1518,1090754,Jun 07 08:46 PM
Kirkhorn Zachary,Chief Financial Officer,2022-06-06,Sale,718.31,2538,1823430,Jun 07 08:54 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-06-06,Sale,718.31,433,311028,Jun 07 09:03 PM
Taneja Vaibhav,Chief Accounting Officer,2022-06-05,Option Exercise,0,3283,0,Jun 07 08:46 PM
Kirkhorn Zachary,Chief Financial Officer,2022-06-05,Option Exercise,0,5623,0,Jun 07 08:54 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-06-05,Option Exercise,0,862,0,Jun 07 09:03 PM
DENHOLM ROBYN M,Director,2022-06-01,Option Exercise,52.38,25000,1309500,Jun 03 06:54 PM
DENHOLM ROBYN M,Director,2022-06-01,Sale,757.33,25000,18933242,Jun 03 06:54 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-05-27,Option Exercise,62.72,3500,219520,Jun 01 08:08 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-05-27,Sale,722.1,3500,2527350,Jun 01 08:08 PM
DENHOLM ROBYN M,Director,2022-05-02,Option Exercise,52.38,25000,1309500,May 04 07:00 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-05-02,Option Exercise,55.32,5000,276600,May 04 08:25 PM
DENHOLM ROBYN M,Director,2022-05-02,Sale,887.99,121,107447,May 04 07:05 PM
DENHOLM ROBYN M,Director,2022-05-02,Sale,869.34,24779,21541489,May 04 07:00 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-05-02,Sale,875.23,5000,4376135,May 04 08:25 PM
Musk Elon,CEO,2022-04-28,Sale,887.91,1041799,925020194,Apr 29 09:15 AM
Musk Elon,CEO,2022-04-28,Sale,872.66,2611217,2278695421,Apr 29 09:11 AM
Musk Elon,CEO,2022-04-28,Sale,839.81,1576984,1324373164,Apr 29 09:08 AM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-04-27,Option Exercise,62.72,3500,219520,Apr 29 06:56 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-04-27,Sale,899.42,3500,3147970,Apr 29 06:56 PM
Musk Elon,CEO,2022-04-27,Sale,898,345601,310350358,Apr 28 09:46 PM
Musk Elon,CEO,2022-04-27,Sale,881.44,389399,343233282,Apr 28 09:41 PM
Musk Elon,CEO,2022-04-26,Sale,987.53,215528,212841259,Apr 28 09:41 PM
Musk Elon,CEO,2022-04-26,Sale,954.51,316161,301779090,Apr 28 09:33 PM
Musk Elon,CEO,2022-04-26,Sale,913.82,889825,813139334,Apr 28 09:16 PM
Musk Elon,CEO,2022-04-26,Sale,889.08,2258486,2007978676,Apr 28 09:13 PM
Taneja Vaibhav,Chief Accounting Officer,2022-04-05,Option Exercise,54.66,7000,382620,Apr 07 07:00 PM
Taneja Vaibhav,Chief Accounting Officer,2022-04-05,Sale,1141.94,1300,1484528,Apr 07 07:05 PM
Taneja Vaibhav,Chief Accounting Officer,2022-04-05,Sale,1108.24,5700,6316944,Apr 07 07:00 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-03-28,Option Exercise,62.72,3500,219520,Mar 30 07:16 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-03-28,Sale,1065,3500,3727500,Mar 30 07:16 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-03-07,Sale,845.39,897,758316,Mar 08 07:36 PM
Kirkhorn Zachary,Chief Financial Officer,2022-03-07,Sale,845.39,2389,2019639,Mar 08 07:44 PM
Taneja Vaibhav,Chief Accounting Officer,2022-03-07,Sale,845.39,1535,1297675,Mar 08 07:32 PM
Taneja Vaibhav,Chief Accounting Officer,2022-03-05,Option Exercise,0,3282,0,Mar 08 07:32 PM
Kirkhorn Zachary,Chief Financial Officer,2022-03-05,Option Exercise,0,5623,0,Mar 08 07:44 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-03-05,Option Exercise,0,1786,0,Mar 08 07:36 PM
DENHOLM ROBYN M,Director,2022-03-01,Option Exercise,52.38,25000,1309500,Mar 03 08:39 PM
DENHOLM ROBYN M,Director,2022-03-01,Sale,867.8,25000,21694957,Mar 03 08:39 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-02-28,Option Exercise,62.72,3500,219520,Mar 02 07:57 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-02-28,Sale,815.72,3500,2855020,Mar 02 07:57 PM
Kirkhorn Zachary,Chief Financial Officer,2022-02-17,Sale,913.26,1250,1141575,Feb 22 07:02 PM
DENHOLM ROBYN M,Director,2022-02-01,Option Exercise,52.38,25000,1309500,Feb 03 07:38 PM
DENHOLM ROBYN M,Director,2022-02-01,Sale,923.57,25000,23089129,Feb 03 07:38 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-01-27,Option Exercise,62.72,3500,219520,Jan 31 07:37 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2022-01-27,Sale,933.56,3500,3267460,Jan 31 07:37 PM
Kirkhorn Zachary,Chief Financial Officer,2022-01-18,Sale,1026.75,1250,1283438,Jan 20 07:39 PM
Taneja Vaibhav,Chief Accounting Officer,2022-01-05,Option Exercise,54.66,7000,382620,Jan 07 06:36 PM
Taneja Vaibhav,Chief Accounting Officer,2022-01-05,Sale,1160.85,1100,1276940,Jan 07 06:37 PM
Taneja Vaibhav,Chief Accounting Officer,2022-01-05,Sale,1131.26,5900,6674424,Jan 07 06:36 PM
Kirkhorn Zachary,Chief Financial Officer,2021-12-31,Option Exercise,55.32,3200,177024,Jan 04 09:50 PM
Musk Elon,CEO,2021-12-28,Option Exercise,6.24,1554176,9698058,Dec 28 08:47 PM
Musk Elon,CEO,2021-12-28,Sale,1091.48,923435,1007908791,Dec 28 08:47 PM
Musk Elon,CEO,2021-12-28,Sale,1113.59,10655,11865297,Dec 28 08:48 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2021-12-27,Option Exercise,62.72,3500,219520,Dec 29 09:28 PM
Baglino Andrew D,SVP Powertrain and Energy Eng.,2021-12-27,Sale,1073,3500,3755500,Dec 29 09:28 PM
Musk Elon,CEO,2021-12-22,Option Exercise,6.24,2105171,13136267,Dec 22 09:24 PM
Musk Elon,CEO,2021-12-22,Sale,979.69,340564,333647031,Dec 22 09:24 PM
Musk Elon,CEO,2021-12-22,Sale,1002.35,593527,594924622,Dec 22 09:28 PM
Musk Elon,CEO,2021-12-21,Option Exercise,6.24,2088955,13035079,Dec 21 09:52 PM
Musk Elon,CEO,2021-12-21,Sale,904.74,583611,528016861,Dec 21 09:52 PM
Musk Elon,CEO,2021-12-21,Sale,929.36,350480,325723600,Dec 21 09:36 PM
Kirkhorn Zachary,Chief Financial Officer,2021-12-17,Sale,915,1250,1143750,Dec 21 08:36 PM
Musk Elon,CEO,2021-12-16,Option Exercise,6.24,2151940,13428106,Dec 16 08:52 PM
Musk Elon,CEO,2021-12-16,Sale,969.83,295214,286307000,Dec 16 08:55 PM
Musk Elon,CEO,2021-12-16,Sale,935.75,638877,597827015,Dec 16 08:52 PM
Musk Elon,CEO,2021-12-13,Option Exercise,6.24,2134440,13318906,Dec 13 08:02 PM
Musk Elon,CEO,2021-12-13,Sale,992.27,169111,167804268,Dec 13 08:04 PM
Musk Elon,CEO,2021-12-13,Sale,965.62,764980,738683277,Dec 13 08:02 PM
