Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Gebo Kate,EVP HR and Labor Relations,2021-08-31,Option Exercise,0,286,0,Mar 02 09:33 PM
Jojo Linda P,"EVP, Tech & Chief Digital Ofcr",2021-06-14,Option Exercise,0,2149,0,Jun 15 05:30 PM
Hart Brett J,President,2021-06-14,Option Exercise,0,3224,0,Jun 15 05:30 PM
Roitman Jonathan,EVP & COO,2021-06-14,Sale,36.85,13939,513667,Jun 15 05:30 PM
SHAPIRO EDWARD,Director,2021-06-13,Buy,37.69,50000,1884465,Jun 15 05:30 PM
SHAPIRO EDWARD,Director,2021-06-03,Buy,44.21,25000,1105355,Jun 06 05:30 PM
SHAPIRO EDWARD,Director,2021-06-02,Buy,45.2,25000,1129918,Jun 06 05:30 PM
KENNY CHRIS,Vice President & Controller,2021-05-31,Sale,47.88,9700,464436,Jun 01 05:30 PM
Enqvist Torbjorn J,EVP & Chief Customer Officer,2021-04-22,Sale,51.33,8900,456837,Apr 25 06:00 PM
Jojo Linda P,"EVP, Tech & Chief Digital Ofcr",2021-02-28,Option Exercise,0,18227,0,Mar 02 06:57 PM
Roitman Jonathan,EVP & COO,2021-02-28,Option Exercise,0,10338,0,Mar 02 06:57 PM
KENNY CHRIS,Vice President & Controller,2021-02-28,Option Exercise,0,5081,0,Mar 02 06:53 PM
Hart Brett J,President,2021-02-28,Option Exercise,0,39900,0,Mar 02 06:52 PM
Enqvist Torbjorn J,EVP & Chief Customer Officer,2021-02-28,Option Exercise,0,7235,0,Mar 02 06:51 PM
Nocella Andrew P,EVP & Chief Commercial Officer,2021-02-28,Option Exercise,0,15885,0,Mar 02 06:44 PM
LADERMAN GERALD,EVP and CFO,2021-02-28,Option Exercise,0,18446,0,Mar 02 06:42 PM
KIRBY J SCOTT,Chief Executive Officer,2021-02-28,Option Exercise,0,83439,0,Mar 02 06:38 PM
Gebo Kate,EVP HR and Labor Relations,2021-02-28,Option Exercise,0,5469,0,Mar 02 09:33 PM
Gebo Kate,EVP HR and Labor Relations,2021-02-28,Option Exercise,0,14496,0,Mar 02 09:33 PM
Roitman Jonathan,EVP & COO,2020-09-14,Option Exercise,0,1418,0,Sep 16 06:30 PM
Roitman Jonathan,EVP & COO,2020-09-14,Sale,43.94,3760,165218,Sep 16 06:30 PM
Hart Brett J,President,2020-09-10,Sale,45.14,77777,3510776,Sep 10 07:00 PM
Hart Brett J,President,2020-08-31,Option Exercise,0,5310,0,Sep 02 06:37 PM
LADERMAN GERALD,EVP and CFO,2020-08-31,Option Exercise,0,7809,0,Sep 02 06:29 PM
Jojo Linda P,"EVP, Tech & Chief Digital Ofcr",2020-08-31,Option Exercise,0,7957,0,Sep 02 06:29 PM
Nocella Andrew P,EVP & Chief Commercial Officer,2020-08-31,Option Exercise,0,6709,0,Sep 02 06:27 PM
Enqvist Torbjorn J,EVP & Chief Customer Officer,2020-08-31,Option Exercise,0,2023,0,Sep 02 06:26 PM
KENNY CHRIS,Vice President & Controller,2020-08-31,Option Exercise,0,2454,0,Sep 02 06:24 PM
Gebo Kate,EVP HR and Labor Relations,2020-08-31,Option Exercise,0,1523,0,Sep 02 06:24 PM
Gebo Kate,EVP HR and Labor Relations,2020-08-31,Option Exercise,0,5606,0,Sep 02 06:24 PM
KIRBY J SCOTT,Chief Executive Officer,2020-08-31,Option Exercise,0,28489,0,Sep 02 06:21 PM
