Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Cesarone Nando,"President, US Operations",2022-05-18,Sale,179.23,19292,3457697,May 20 04:09 PM
Cesarone Nando,"President, US Operations",2022-05-13,Option Exercise,0,8693,0,May 17 04:28 PM
Gutmann Kathleen M.,"Pres Intl, Healthcare and SCS",2022-05-13,Option Exercise,0,8693,0,May 17 04:28 PM
Gutmann Kathleen M.,"Pres Intl, Healthcare and SCS",2022-03-25,Option Exercise,0,273,0,Mar 29 04:52 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-03-03,Sale,215.37,3897,839281,Mar 04 04:44 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-02-18,Option Exercise,0,3474,0,Feb 22 06:41 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-02-18,Option Exercise,0,3514,0,Feb 22 06:40 PM
Gutmann Kathleen M.,Chief Sales & Solutions Off,2022-02-18,Option Exercise,0,37616,0,Feb 22 06:41 PM
Newman Brian,Chief Financial Officer,2022-02-18,Option Exercise,0,5244,0,Feb 22 06:41 PM
Perez Juan R.,Chief Info. & Engineering Off.,2022-02-18,Option Exercise,0,36449,0,Feb 22 06:41 PM
Price Scott A.,"President, UPS International",2022-02-18,Option Exercise,0,53417,0,Feb 22 06:41 PM
Thomas Charlene A,"CHF Diversity, Equity & In Off",2022-02-18,Option Exercise,0,34759,0,Feb 22 06:41 PM
WARREN KEVIN M,Chief Marketing Officer,2022-02-18,Option Exercise,0,41333,0,Feb 22 06:41 PM
Ford Darrell L,Chief Human Resources Officer,2022-02-18,Option Exercise,0,3167,0,Feb 22 06:41 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-18,Option Exercise,0,4096,0,Feb 22 06:40 PM
Cesarone Nando,"President, US Operations",2022-02-18,Option Exercise,0,32787,0,Feb 22 06:40 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-02-18,Sale,208.85,11685,2440429,Feb 22 06:40 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-18,Sale,208.54,17360,3620304,Feb 22 06:40 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-02-18,Sale,208.28,6988,1455444,Feb 22 06:41 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-17,Option Exercise,0,31622,0,Feb 22 06:40 PM
Gilbert Philippe R,"Pres, Supply Chain Solutions",2022-02-17,Option Exercise,0,28383,0,Feb 22 06:40 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-02-17,Option Exercise,0,12729,0,Feb 22 06:41 PM
Perez Juan R.,Chief Info. & Engineering Off.,2022-02-07,Sale,223.54,12996,2905143,Feb 09 04:06 PM
Cesarone Nando,"President, US Operations",2022-02-03,Option Exercise,106.62,7129,760064,Feb 04 04:19 PM
Cesarone Nando,"President, US Operations",2022-02-03,Sale,229.8,5384,1237257,Feb 04 04:19 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-02,Option Exercise,104.94,6907,724826,Feb 04 04:19 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-02-02,Sale,227.52,5677,1291637,Feb 04 04:19 PM
Lane Laura J,"CHF Crp Aff, Com & Sustain Off",2022-01-26,Option Exercise,0,752,0,Jan 28 07:51 PM
Perez Juan R.,Chief Info. & Engineering Off.,2022-01-26,Option Exercise,0,1606,0,Jan 28 07:52 PM
Thomas Charlene A,"CHF Diversity, Equity & In Off",2022-01-26,Option Exercise,0,397,0,Jan 28 07:52 PM
Price Scott A.,"President, UPS International",2022-01-26,Option Exercise,0,7076,0,Jan 28 07:52 PM
Brothers Norman M. Jr,Chief Legal & Compliance Off,2022-01-26,Option Exercise,0,1542,0,Jan 28 07:51 PM
Gutmann Kathleen M.,Chief Sales & Solutions Off,2022-01-26,Option Exercise,0,1540,0,Jan 28 07:51 PM
Ford Darrell L,Chief Human Resources Officer,2022-01-05,Option Exercise,0,6066,0,Jan 07 04:10 PM
Price Scott A.,"President, UPS International",2021-08-19,Sale,193.22,6600,1275231,Aug 20 04:15 PM
Cesarone Nando,"President, US Operations",2021-08-17,Sale,195.52,8224,1608038,Aug 18 04:22 PM
Stokes Russell,Director,2021-08-09,Buy,191.39,100,19139,Nov 09 04:50 PM
Stokes Russell,Director,2021-08-04,Buy,192.16,300,57648,Nov 09 04:50 PM
Perez Juan R.,Chief Info. & Engineering Off.,2021-08-02,Sale,191.84,28882,5540733,Aug 03 04:22 PM
