Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Carucci Richard,Director,2022-06-14,Buy,45.39,10000,453858,Jun 15 04:15 PM
MCMULLEN W RODNEY,Director,2022-05-31,Buy,49.99,3000,149970,May 31 04:25 PM
Carucci Richard,Director,2022-05-27,Option Exercise,37.6,7636,287150,May 31 04:24 PM
Puckett Matthew H,EVP & Chief Financial Officer,2022-05-27,Sale,49.87,677,33763,May 31 04:21 PM
MCMULLEN W RODNEY,Director,2022-05-25,Buy,45.4,3000,136200,May 26 02:16 PM
MCMULLEN W RODNEY,Director,2022-03-03,Buy,56,3000,168000,Mar 04 04:19 PM
MCMULLEN W RODNEY,Director,2022-02-03,Buy,64.5,3000,193500,Feb 04 04:46 PM
Lang Laura W,Director,2021-12-09,Option Exercise,33.81,7429,251145,Dec 10 04:41 PM
Lang Laura W,Director,2021-12-09,Sale,76.4,7429,567576,Dec 10 04:41 PM
CHUGG JULIANA L,Director,2021-10-28,Option Exercise,33.81,7429,251174,Oct 29 05:01 PM
Carucci Richard,Director,2021-09-08,Option Exercise,33.81,7429,251145,Sep 09 02:35 PM
