Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Silliman Craig L.,EVP&ChiefAdminLegal&PubPolOff,2022-07-05,Sale,51.42,1558,80112,Jul 07 08:13 AM
Silliman Craig L.,EVP&ChiefAdminLegal&PubPolOff,2022-06-03,Sale,50.94,1558,79365,Jun 07 08:04 AM
Silliman Craig L.,EVP&ChiefAdminLegal&PubPolOff,2022-05-23,Sale,50,1558,77900,May 25 08:25 AM
Erwin Tami A.,EVP and Group CEO-VZ Business,2022-04-26,Sale,49.77,23647,1176911,Apr 28 08:03 AM
Silliman Craig L.,EVP&ChiefAdminLegal&PubPolOff,2022-04-04,Sale,52,1558,81016,Apr 06 08:09 AM
Silliman Craig L.,EVP&ChiefAdminLegal&PubPolOff,2022-03-03,Sale,54.48,1558,84880,Mar 07 08:27 AM
Vestberg Hans Erik,Chairman and CEO,2022-01-26,Buy,52.55,19000,998450,Jan 28 08:31 AM
Silliman Craig L.,EVP&ChiefAdminLegal&PubPolOff,2021-12-16,Sale,52,1554,80808,Dec 17 11:15 AM
SILLIMAN CRAIG L.,EVP&ChiefAdminLegal&PubPolOff,2021-11-04,Sale,52.91,1554,82222,Nov 08 08:11 AM
SILLIMAN CRAIG L.,EVP&ChiefAdminLegal&PubPolOff,2021-10-04,Sale,54.45,1554,84615,Oct 06 08:15 AM
SILLIMAN CRAIG L.,EVP&ChiefAdminLegal&PubPolOff,2021-09-07,Sale,55.38,1554,86061,Sep 09 08:29 AM
Gowrappan Kumara Guru,EVP and Group CEO-VZ Media,2021-08-11,Sale,55.56,14077,782118,Aug 13 11:09 AM
SILLIMAN CRAIG L.,EVP&ChiefAdminLegal&PubPolOff,2021-08-04,Sale,55.57,1554,86356,Aug 06 08:22 AM
SILLIMAN CRAIG L.,EVP&ChiefAdminLegal&PubPolOff,2021-07-06,Sale,56.45,1555,87780,Jul 08 08:20 AM
