Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
KUEBLER CHRISTOPHER A,Director,2022-05-19,Option Exercise,88.71,4000,354840,May 23 10:33 AM
KUEBLER CHRISTOPHER A,Director,2022-05-19,Sale,328.78,4000,1315120,May 23 10:33 AM
Hendrickson Gary E,Director,2022-05-05,Option Exercise,335.59,5962,2000792,May 09 10:25 AM
CONARD EDWARD,Director,2021-12-02,Option Exercise,75.94,4000,303760,Dec 03 11:58 AM
CONARD EDWARD,Director,2021-12-02,Sale,336.01,4000,1344040,Dec 03 11:58 AM
KUEBLER CHRISTOPHER A,Director,2021-08-18,Sale,405.62,3000,1216860,Aug 19 09:36 AM
BADDOUR LINDA,Director,2021-08-16,Option Exercise,183.41,1260,231097,Aug 17 12:39 PM
BADDOUR LINDA,Director,2021-08-16,Sale,408.99,1260,515327,Aug 17 12:39 PM
BERENDT MICHAEL J,Director,2021-08-13,Sale,403.12,806,324915,Aug 16 10:32 AM
BERENDT MICHAEL J,Director,2021-08-12,Sale,398.43,4000,1593720,Aug 13 10:41 AM
SALICE THOMAS P,Director,2021-08-05,Sale,395,3500,1382500,Aug 06 01:27 PM
SALICE THOMAS P,Director,2021-08-05,Sale,395,5000,1975000,Aug 06 01:27 PM
