Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
YANG GEOFFREY Y,Director,2022-05-05,Buy,18.79,58296,1095275,May 10 04:15 PM
Di Piazza Samuel A Jr.,Director,2022-05-02,Buy,18.52,2700,50001,May 04 05:25 PM
Di Piazza Samuel A Jr.,Director,2022-05-02,Buy,18.45,13500,249021,May 04 05:25 PM
Zeiler Gerhard,"President, International",2022-05-02,Buy,18.39,25000,459875,May 04 04:42 PM
Wiedenfels Gunnar,Chief Financial Officer,2022-05-02,Buy,18.46,4000,73840,May 04 04:31 PM
GOULD PAUL A,Director,2022-04-29,Buy,18.25,5000,91245,May 03 04:21 PM
Leavy David,Chief Corp Affairs Officer,2022-04-28,Buy,18.33,6866,125854,Apr 28 04:33 PM
BENNETT ROBERT R,Director,2022-04-28,Buy,18.95,28000,530590,Apr 28 04:07 PM
BENNETT ROBERT R,Director,2022-04-27,Buy,18.8,25000,469900,Apr 28 04:07 PM
Wiedenfels Gunnar,Chief Financial Officer,2022-04-27,Buy,19.95,25000,498750,Apr 27 04:03 PM
Zaslav David,Chief Executive Officer & Pres,2022-04-27,Buy,19.93,50200,1000398,Apr 27 04:01 PM
