Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Conley Christopher S,Vice President and Controller,2022-08-01,Option Exercise,0,2500,0,Aug 02 04:56 PM
Morel Gilles,"EVP AND PRESIDENT, EMEA",2022-05-01,Option Exercise,0,3000,0,May 03 04:51 PM
Bitzer Marc R,CHAIRMAN AND CEO,2022-03-01,Option Exercise,0,91008,0,Mar 03 07:33 PM
Wu Shengpo,"EVP AND PRESIDENT, ASIA",2022-03-01,Option Exercise,0,6228,0,Mar 03 08:01 PM
Peters James W,EXEC VICE PRESIDENT AND CFO,2022-03-01,Option Exercise,0,20492,0,Mar 03 07:56 PM
Liotine Joseph T.,PRESIDENT & COO,2022-03-01,Option Exercise,0,23334,0,Mar 03 07:53 PM
Morel Gilles,"EVP AND PRESIDENT, EMEA",2022-03-01,Option Exercise,0,5518,0,Mar 03 07:49 PM
Conley Christopher S,Vice President and Controller,2022-03-01,Option Exercise,0,1086,0,Mar 03 07:47 PM
Brega Joao Carlos,"EXECUTIVE VICE PRESIDENT, LAR",2022-03-01,Option Exercise,0,9238,0,Mar 03 07:37 PM
Liotine Joseph T.,PRESIDENT & COO,2022-02-20,Option Exercise,0,7500,0,Feb 23 05:55 PM
Brega Joao Carlos,"EXECUTIVE VICE PRESIDENT, LAR",2022-02-20,Option Exercise,0,7500,0,Feb 23 05:47 PM
DICAMILLO GARY T,Director,2022-02-01,Sale,209.9,1000,209900,Feb 02 05:27 PM
DICAMILLO GARY T,Director,2021-11-01,Sale,211.67,1000,211670,Nov 02 04:51 PM
DICAMILLO GARY T,Director,2021-08-02,Sale,223.26,1000,223260,Aug 03 05:27 PM
Peters James W,EXEC VICE PRESIDENT AND CFO,2021-08-01,Option Exercise,0,5000,0,Aug 03 05:20 PM
Conley Christopher S,Vice President and Controller,2021-07-27,Sale,217.05,455,98758,Jul 28 05:58 PM
