Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Cowan Debbie L.,SVP & Chief HR Officer,2022-06-08,Sale,37.75,36228,1367612,Jun 09 02:21 PM
Hallam Scott A.,SVP Transmission & Gulf of Mex,2022-04-06,Sale,33.3,15607,519713,Apr 07 03:41 PM
Hallam Scott A.,SVP Transmission & Gulf of Mex,2022-03-08,Option Exercise,27.34,12838,350938,Mar 09 05:22 PM
Hallam Scott A.,SVP Transmission & Gulf of Mex,2022-03-08,Sale,33.86,12838,434695,Mar 09 05:22 PM
Hallam Scott A.,SVP Transmission & Gulf of Mex,2022-03-07,Option Exercise,29.09,10913,317459,Mar 09 05:22 PM
Hallam Scott A.,SVP Transmission & Gulf of Mex,2022-03-07,Sale,33.39,10913,364420,Mar 09 05:22 PM
Bennett Walter J,SVP Gathering & Processing,2022-03-01,Option Exercise,28.99,95013,2754229,Mar 02 12:23 PM
Bennett Walter J,SVP Gathering & Processing,2022-03-01,Sale,32,95013,3040416,Mar 02 12:23 PM
ARMSTRONG ALAN S,President & CEO,2022-02-23,Option Exercise,29.11,159681,4648314,Feb 25 04:11 PM
ARMSTRONG ALAN S,President & CEO,2022-02-23,Sale,30.18,156523,4723395,Feb 25 04:11 PM
Bennett Walter J,SVP Gathering & Processing,2022-02-23,Sale,29.7,24219,719304,Feb 25 04:07 PM
Wilson Terrance Lane,SVP & General Counsel,2022-02-22,Option Exercise,29.51,66925,1974957,Feb 24 12:06 PM
Zamarin Chad J.,Senior Vice President - CSD,2022-02-22,Option Exercise,29.51,122178,3605473,Feb 24 12:04 PM
Hallam Scott A.,SVP Transmission & Gulf of Mex,2022-02-22,Option Exercise,29.51,91666,2705064,Feb 24 12:03 PM
Porter John Dean,"VP, Controller & CAO",2022-02-22,Option Exercise,29.51,4201,123972,Feb 24 12:03 PM
Dunn Micheal G.,Executive Vice President & COO,2022-02-22,Option Exercise,29.51,166794,4922091,Feb 24 12:01 PM
Cowan Debbie L.,SVP & Chief HR Officer,2022-02-22,Option Exercise,29.51,52337,1544465,Feb 24 11:59 AM
Bennett Walter J,SVP Gathering & Processing,2022-02-22,Option Exercise,29.51,72760,2147148,Feb 24 11:57 AM
ARMSTRONG ALAN S,President & CEO,2022-02-22,Option Exercise,29.51,397777,11738399,Feb 24 11:56 AM
Bennett Walter J,SVP Gathering & Processing,2021-10-08,Option Exercise,24.98,18975,473996,Oct 12 12:15 PM
Bennett Walter J,SVP Gathering & Processing,2021-10-08,Sale,28,43975,1231300,Oct 12 12:15 PM
