Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),SEC Form 4
Talley Darrin L,Vice President,2022-08-01,Sale,94.6,2500,236500,Aug 02 10:29 AM
Talley Darrin L,Vice President,2022-06-07,Sale,102.81,2147,220744,Jun 08 02:14 PM
Talley Darrin L,Vice President,2022-05-26,Sale,96.65,2500,241635,May 27 10:39 AM
Littleton Stephen A,Vice President and Secretary,2022-02-04,Sale,81.29,10000,812916,Feb 08 10:52 AM
UBBEN JEFFREY W,Director,2022-02-02,Sale,80.05,1500000,120075000,Feb 04 09:30 PM
Fox Leonard M.,Vice President and Controller,2021-12-14,Sale,61.81,7300,451185,Dec 15 02:42 PM
Wojnar Theodore J Jr,Vice President,2021-12-08,Sale,62.51,12512,782126,Dec 10 12:41 PM
Spellings James M Jr,Vice Pres. & Gen. Tax Counsel,2021-12-08,Sale,62.63,12500,782900,Dec 10 12:48 PM
DuCharme Linda D,Vice President,2021-12-07,Sale,62.45,8600,537113,Dec 09 04:46 PM
Woods Darren W,Chairman and CEO,2021-11-30,Buy,60,217,13020,Dec 02 05:32 PM
Woods Darren W,Chairman and CEO,2021-11-26,Buy,60,327,19620,Nov 30 04:51 PM
Angelakis Michael J,Director,2021-11-03,Buy,64,5000,320000,Nov 04 05:43 PM
