Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17 00:00:00-05:00,,,,,,
1980-03-18 00:00:00-05:00,,,,,,
1980-03-19 00:00:00-05:00,,,,,,
1980-03-20 00:00:00-05:00,,,,,,
1980-03-21 00:00:00-05:00,,,,,,
1980-03-24 00:00:00-05:00,,,,,,
1980-03-25 00:00:00-05:00,,,,,,
1980-03-26 00:00:00-05:00,,,,,,
1980-03-27 00:00:00-05:00,,,,,,
1980-03-28 00:00:00-05:00,,,,,,
1980-03-31 00:00:00-05:00,,,,,,
1980-04-01 00:00:00-05:00,,,,,,
1980-04-02 00:00:00-05:00,,,,,,
1980-04-03 00:00:00-05:00,,,,,,
1980-04-07 00:00:00-05:00,,,,,,
1980-04-08 00:00:00-05:00,,,,,,
1980-04-09 00:00:00-05:00,,,,,,
1980-04-10 00:00:00-05:00,,,,,,
1980-04-11 00:00:00-05:00,,,,,,
1980-04-14 00:00:00-05:00,,,,,,
1980-04-15 00:00:00-05:00,,,,,,
1980-04-16 00:00:00-05:00,,,,,,
1980-04-17 00:00:00-05:00,,,,,,
1980-04-18 00:00:00-05:00,,,,,,
1980-04-21 00:00:00-05:00,,,,,,
1980-04-22 00:00:00-05:00,,,,,,
1980-04-23 00:00:00-05:00,,,,,,
1980-04-24 00:00:00-05:00,,,,,,
1980-04-25 00:00:00-05:00,,,,,,
1980-04-28 00:00:00-04:00,,,,,,
1980-04-29 00:00:00-04:00,,,,,,
1980-04-30 00:00:00-04:00,,,,,,
1980-05-01 00:00:00-04:00,,,,,,
1980-05-02 00:00:00-04:00,,,,,,
1980-05-05 00:00:00-04:00,,,,,,
1980-05-06 00:00:00-04:00,,,,,,
1980-05-07 00:00:00-04:00,,,,,,
1980-05-08 00:00:00-04:00,,,,,,
1980-05-09 00:00:00-04:00,,,,,,
1980-05-12 00:00:00-04:00,,,,,,
1980-05-13 00:00:00-04:00,,,,,,
1980-05-14 00:00:00-04:00,,,,,,
1980-05-15 00:00:00-04:00,,,,,,
1980-05-16 00:00:00-04:00,,,,,,
1980-05-19 00:00:00-04:00,,,,,,
1980-05-20 00:00:00-04:00,,,,,,
1980-05-21 00:00:00-04:00,,,,,,
1980-05-22 00:00:00-04:00,,,,,,
1980-05-23 00:00:00-04:00,,,,,,
1980-05-27 00:00:00-04:00,,,,,,
1980-05-28 00:00:00-04:00,,,,,,
1980-05-29 00:00:00-04:00,,,,,,
1980-05-30 00:00:00-04:00,,,,,,
1980-06-02 00:00:00-04:00,,,,,,
1980-06-03 00:00:00-04:00,,,,,,
1980-06-04 00:00:00-04:00,,,,,,
1980-06-05 00:00:00-04:00,,,,,,
1980-06-06 00:00:00-04:00,,,,,,
1980-06-09 00:00:00-04:00,,,,,,
1980-06-10 00:00:00-04:00,,,,,,
1980-06-11 00:00:00-04:00,,,,,,
1980-06-12 00:00:00-04:00,,,,,,
1980-06-13 00:00:00-04:00,,,,,,
