Date,Open,High,Low,Close,Volume,Dividends
1997-02-04T05:00:00Z,11,11,10.3125,10.5625,26677600,0
1997-02-05T05:00:00Z,10.625,10.75,10.125,10.125,6762800,0
1997-02-06T05:00:00Z,10.1875,10.375,10.125,10.3125,2238200,0
1997-02-07T05:00:00Z,10.25,10.3125,10.25,10.25,1405800,0
1997-02-10T05:00:00Z,10.25,10.625,10.25,10.5,1666800,0
1997-02-11T05:00:00Z,10.5,10.625,10.4375,10.5,1444200,0
1997-02-12T05:00:00Z,10.5,10.5625,10.3125,10.375,780000,0
1997-02-13T05:00:00Z,10.4375,10.4375,10,10,1518600,0
1997-02-14T05:00:00Z,10.0625,10.125,10,10,511600,0
1997-02-18T05:00:00Z,10.0625,10.0625,10,10.0625,746000,0
1997-02-19T05:00:00Z,10,10.0625,10,10,1593000,0
1997-02-20T05:00:00Z,10,10.0625,10,10,614000,0
1997-02-21T05:00:00Z,10,10.0625,10,10,756400,0
1997-02-24T05:00:00Z,10,10.0625,10,10,244400,0
1997-02-25T05:00:00Z,10,10.0625,10,10,836800,0
1997-02-26T05:00:00Z,10,10.1875,10,10.125,2607200,0
1997-02-27T05:00:00Z,10.125,10.125,10,10,2115000,0
1997-02-28T05:00:00Z,10,10.0625,10,10.0625,188400,0
1997-03-03T05:00:00Z,10.0625,10.0625,10,10,2307000,0
1997-03-04T05:00:00Z,10,10.0625,9.375,9.5,1624600,0
1997-03-05T05:00:00Z,9.5,9.625,9.4375,9.5625,795800,0
1997-03-06T05:00:00Z,9.5625,9.6875,9.5625,9.6875,1049000,0
1997-03-07T05:00:00Z,9.625,9.8125,9.5625,9.8125,417000,0
1997-03-10T05:00:00Z,9.8125,10,9.75,9.8125,567000,0
1997-03-11T05:00:00Z,9.8125,9.8125,9.5625,9.625,438800,0
1997-03-12T05:00:00Z,9.6875,9.6875,9.5,9.5,72200,0
1997-03-13T05:00:00Z,9.5,9.5,8.75,8.8125,269200,0
1997-03-14T05:00:00Z,8.875,8.875,8.375,8.4375,322200,0
1997-03-17T05:00:00Z,8.5,8.5,8.3125,8.4375,445800,0
